iso_a0,pais,adm_1_name,ano,mes,casos_dengue,incidencia_dengue,agua_basica,tmax_promedio,tmin_promedio,precipitacion,humedad_promedio,tmax_lag1,tmax_lag2,tmax_lag3,tmin_lag1,tmin_lag2,tmin_lag3,precipitacion_lag1,precipitacion_lag2,precipitacion_lag3,humedad_lag1,humedad_lag2,humedad_lag3,incidencia_lag1,incidencia_lag2,incidencia_lag3,poblacion
ARG,Argentina,BUENOS AIRES,2014,4,0,0.0,98.9232,25.06,10.91,3.17,78.05,25.79,29.68,33.35,12.9,17.44,16.63,4.68,8.14,6.33,73.81,80.32,68.75,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,5,0,0.0,98.9232,20.46,8.09,3.89,81.76,25.06,25.79,29.68,10.91,12.9,17.44,3.17,4.68,8.14,78.05,73.81,80.32,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,6,0,0.0,98.9232,19.33,7.53,1.18,79.79,20.46,25.06,25.79,8.09,10.91,12.9,3.89,3.17,4.68,81.76,78.05,73.81,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,7,0,0.0,98.9232,18.01,5.4,4.7,83.46,19.33,20.46,25.06,7.53,8.09,10.91,1.18,3.89,3.17,79.79,81.76,78.05,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,8,0,0.0,98.9232,22.52,6.55,0.82,79.01,18.01,19.33,20.46,5.4,7.53,8.09,4.7,1.18,3.89,83.46,79.79,81.76,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,9,0,0.0,98.9232,20.72,10.78,5.44,76.78,22.52,18.01,19.33,6.55,5.4,7.53,0.82,4.7,1.18,79.01,83.46,79.79,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,10,0,0.0,98.9232,28.63,11.21,5.92,77.26,20.72,22.52,18.01,10.78,6.55,5.4,5.44,0.82,4.7,76.78,79.01,83.46,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,11,0,0.0,98.9232,27.12,12.42,6.88,71.2,28.63,20.72,22.52,11.21,10.78,6.55,5.92,5.44,0.82,77.26,76.78,79.01,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,12,0,0.0,98.9232,30.3,15.11,2.4,70.86,27.12,28.63,20.72,12.42,11.21,10.78,6.88,5.92,5.44,71.2,77.26,76.78,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2015,1,0,0.0,98.9823,30.21,16.61,5.04,73.07,30.3,27.12,28.63,15.11,12.42,11.21,2.4,6.88,5.92,70.86,71.2,77.26,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,2,0,0.0,98.9823,30.17,15.78,1.07,69.64,30.21,30.3,27.12,16.61,15.11,12.42,5.04,2.4,6.88,73.07,70.86,71.2,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,3,0,0.0,98.9823,29.54,15.75,1.01,69.98,30.17,30.21,30.3,15.78,16.61,15.11,1.07,5.04,2.4,69.64,73.07,70.86,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,4,0,0.0,98.9823,27.48,15.34,1.86,70.62,29.54,30.17,30.21,15.75,15.78,16.61,1.01,1.07,5.04,69.98,69.64,73.07,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,5,0,0.0,98.9823,24.09,11.02,1.12,77.84,27.48,29.54,30.17,15.34,15.75,15.78,1.86,1.01,1.07,70.62,69.98,69.64,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,6,0,0.0,98.9823,21.92,5.7,1.6,76.56,24.09,27.48,29.54,11.02,15.34,15.75,1.12,1.86,1.01,77.84,70.62,69.98,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,7,0,0.0,98.9823,20.8,5.99,1.7,79.46,21.92,24.09,27.48,5.7,11.02,15.34,1.6,1.12,1.86,76.56,77.84,70.62,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,8,0,0.0,98.9823,21.12,8.13,6.26,81.76,20.8,21.92,24.09,5.99,5.7,11.02,1.7,1.6,1.12,79.46,76.56,77.84,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,9,0,0.0,98.9823,19.73,5.88,1.02,71.74,21.12,20.8,21.92,8.13,5.99,5.7,6.26,1.7,1.6,81.76,79.46,76.56,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,10,0,0.0,98.9823,23.4,6.31,2.35,76.88,19.73,21.12,20.8,5.88,8.13,5.99,1.02,6.26,1.7,71.74,81.76,79.46,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,11,0,0.0,98.9823,26.22,13.55,5.57,69.01,23.4,19.73,21.12,6.31,5.88,8.13,2.35,1.02,6.26,76.88,71.74,81.76,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,12,0,0.0,98.9823,31.41,14.04,1.96,68.96,26.22,23.4,19.73,13.55,6.31,5.88,5.57,2.35,1.02,69.01,76.88,71.74,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2016,1,0,0.0,99.0414,32.7,20.63,1.56,67.12,31.41,26.22,23.4,14.04,13.55,6.31,1.96,5.57,2.35,68.96,69.01,76.88,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,2,0,0.0,99.0414,31.77,18.3,5.14,70.28,32.7,31.41,26.22,20.63,14.04,13.55,1.56,1.96,5.57,67.12,68.96,69.01,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,3,0,0.0,99.0414,29.2,15.45,2.32,72.91,31.77,32.7,31.41,18.3,20.63,14.04,5.14,1.56,1.96,70.28,67.12,68.96,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,4,0,0.0,99.0414,26.43,8.61,6.79,81.11,29.2,31.77,32.7,15.45,18.3,20.63,2.32,5.14,1.56,72.91,70.28,67.12,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,5,0,0.0,99.0414,17.67,8.13,1.26,82.04,26.43,29.2,31.77,8.61,15.45,18.3,6.79,2.32,5.14,81.11,72.91,70.28,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,6,0,0.0,99.0414,14.96,5.12,1.05,83.3,17.67,26.43,29.2,8.13,8.61,15.45,1.26,6.79,2.32,82.04,81.11,72.91,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,7,0,0.0,99.0414,15.05,4.99,4.97,85.65,14.96,17.67,26.43,5.12,8.13,8.61,1.05,1.26,6.79,83.3,82.04,81.11,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,8,0,0.0,99.0414,21.43,5.89,1.76,80.64,15.05,14.96,17.67,4.99,5.12,8.13,4.97,1.05,1.26,85.65,83.3,82.04,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,9,0,0.0,99.0414,21.93,7.72,1.77,78.05,21.43,15.05,14.96,5.89,4.99,5.12,1.76,4.97,1.05,80.64,85.65,83.3,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,10,0,0.0,99.0414,23.76,9.3,3.53,79.79,21.93,21.43,15.05,7.72,5.89,4.99,1.77,1.76,4.97,78.05,80.64,85.65,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,11,0,0.0,99.0414,27.71,11.51,2.93,69.96,23.76,21.93,21.43,9.3,7.72,5.89,3.53,1.77,1.76,79.79,78.05,80.64,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,12,0,0.0,99.0414,30.89,15.73,3.18,64.47,27.71,23.76,21.93,11.51,9.3,7.72,2.93,3.53,1.77,69.96,79.79,78.05,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2017,1,0,0.0,99.0414,31.1,17.83,3.2,69.07,30.89,27.71,23.76,15.73,11.51,9.3,3.18,2.93,3.53,64.47,69.96,79.79,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,2,0,0.0,99.0414,30.54,16.81,4.42,77.13,31.1,30.89,27.71,17.83,15.73,11.51,3.2,3.18,2.93,69.07,64.47,69.96,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,3,0,0.0,99.0414,31.74,15.75,2.36,71.88,30.54,31.1,30.89,16.81,17.83,15.73,4.42,3.2,3.18,77.13,69.07,64.47,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,4,0,0.0,99.0414,26.17,11.42,2.93,75.03,31.74,30.54,31.1,15.75,16.81,17.83,2.36,4.42,3.2,71.88,77.13,69.07,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,5,0,0.0,99.0414,22.48,10.92,3.62,81.72,26.17,31.74,30.54,11.42,15.75,16.81,2.93,2.36,4.42,75.03,71.88,77.13,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,6,0,0.0,99.0414,20.64,6.77,0.05,78.92,22.48,26.17,31.74,10.92,11.42,15.75,3.62,2.93,2.36,81.72,75.03,71.88,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,7,0,0.0,99.0414,19.47,4.84,3.18,84.57,20.64,22.48,26.17,6.77,10.92,11.42,0.05,3.62,2.93,78.92,81.72,75.03,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,8,0,0.0,99.0414,20.11,8.58,4.74,81.86,19.47,20.64,22.48,4.84,6.77,10.92,3.18,0.05,3.62,84.57,78.92,81.72,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,9,0,0.0,99.0414,21.19,9.03,4.7,81.41,20.11,19.47,20.64,8.58,4.84,6.77,4.74,3.18,0.05,81.86,84.57,78.92,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,10,0,0.0,99.0414,23.03,10.8,3.65,75.1,21.19,20.11,19.47,9.03,8.58,4.84,4.7,4.74,3.18,81.41,81.86,84.57,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,11,0,0.0,99.0414,27.91,12.49,1.33,67.98,23.03,21.19,20.11,10.8,9.03,8.58,3.65,4.7,4.74,75.1,81.41,81.86,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,12,0,0.0,99.0414,33.07,16.27,3.31,68.58,27.91,23.03,21.19,12.49,10.8,9.03,1.33,3.65,4.7,67.98,75.1,81.41,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2018,1,0,0.0,99.0414,32.71,19.53,1.75,66.29,33.07,27.91,23.03,16.27,12.49,10.8,3.31,1.33,3.65,68.58,67.98,75.1,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,2,0,0.0,99.0414,33.7,16.64,2.52,65.95,32.71,33.07,27.91,19.53,16.27,12.49,1.75,3.31,1.33,66.29,68.58,67.98,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,3,0,0.0,99.0414,29.75,13.09,3.84,65.43,33.7,32.71,33.07,16.64,19.53,16.27,2.52,1.75,3.31,65.95,66.29,68.58,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,4,0,0.0,99.0414,27.04,14.14,6.08,81.24,29.75,33.7,32.71,13.09,16.64,19.53,3.84,2.52,1.75,65.43,65.95,66.29,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,5,0,0.0,99.0414,22.16,10.5,6.23,82.18,27.04,29.75,33.7,14.14,13.09,16.64,6.08,3.84,2.52,81.24,65.43,65.95,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,6,0,0.0,99.0414,16.35,3.89,0.32,80.28,22.16,27.04,29.75,10.5,14.14,13.09,6.23,6.08,3.84,82.18,81.24,65.43,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,7,0,0.0,99.0414,15.78,4.4,3.77,84.3,16.35,22.16,27.04,3.89,10.5,14.14,0.32,6.23,6.08,80.28,82.18,81.24,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,8,0,0.0,99.0414,19.5,5.68,1.84,81.23,15.78,16.35,22.16,4.4,3.89,10.5,3.77,0.32,6.23,84.3,80.28,82.18,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,9,0,0.0,99.0414,24.51,9.82,3.64,82.04,19.5,15.78,16.35,5.68,4.4,3.89,1.84,3.77,0.32,81.23,84.3,80.28,0.0,0.0,0.0,16891025
