iso_a0,pais,adm_1_name,ano,mes,tmax_promedio,tmin_promedio,precipitacion,humedad_promedio
ARG,Argentina,BUENOS AIRES,2010,1,30.65,18.56,3.77,70.6
ARG,Argentina,BUENOS AIRES,2010,2,29.97,15.64,10.0,77.01
ARG,Argentina,BUENOS AIRES,2010,3,27.4,15.37,2.26,75.96
ARG,Argentina,BUENOS AIRES,2010,4,25.51,10.94,2.3,74.44
ARG,Argentina,BUENOS AIRES,2010,5,22.1,8.74,3.91,80.67
ARG,Argentina,BUENOS AIRES,2010,6,17.36,6.1,1.83,81.48
ARG,Argentina,BUENOS AIRES,2010,7,20.18,3.83,3.15,81.82
ARG,Argentina,BUENOS AIRES,2010,8,18.38,4.09,0.84,81.22
ARG,Argentina,BUENOS AIRES,2010,9,20.89,8.22,4.89,81.18
ARG,Argentina,BUENOS AIRES,2010,10,24.4,9.12,1.14,73.72
ARG,Argentina,BUENOS AIRES,2010,11,28.15,11.12,1.03,69.38
ARG,Argentina,BUENOS AIRES,2010,12,31.46,15.01,1.34,62.63
ARG,Argentina,BUENOS AIRES,2011,1,31.32,19.82,3.76,68.9
ARG,Argentina,BUENOS AIRES,2011,2,29.62,17.47,2.15,69.83
ARG,Argentina,BUENOS AIRES,2011,3,29.98,13.9,1.2,67.59
ARG,Argentina,BUENOS AIRES,2011,4,25.25,12.93,3.45,72.54
ARG,Argentina,BUENOS AIRES,2011,5,20.65,9.72,1.43,76.41
ARG,Argentina,BUENOS AIRES,2011,6,17.49,5.22,3.88,81.08
ARG,Argentina,BUENOS AIRES,2011,7,17.93,3.55,2.43,80.27
ARG,Argentina,BUENOS AIRES,2011,8,18.36,4.74,0.94,80.01
ARG,Argentina,BUENOS AIRES,2011,9,23.38,8.33,0.45,72.18
ARG,Argentina,BUENOS AIRES,2011,10,23.98,9.63,2.17,74.73
ARG,Argentina,BUENOS AIRES,2011,11,29.97,13.88,2.38,67.8
ARG,Argentina,BUENOS AIRES,2011,12,31.15,13.56,1.5,66.64
ARG,Argentina,BUENOS AIRES,2012,1,34.05,18.31,1.27,64.34
ARG,Argentina,BUENOS AIRES,2012,2,31.23,17.92,6.96,72.53
ARG,Argentina,BUENOS AIRES,2012,3,29.64,12.36,3.72,75.3
ARG,Argentina,BUENOS AIRES,2012,4,25.72,10.04,2.01,72.41
ARG,Argentina,BUENOS AIRES,2012,5,21.72,8.94,2.73,82.38
ARG,Argentina,BUENOS AIRES,2012,6,18.94,4.72,0.39,80.38
ARG,Argentina,BUENOS AIRES,2012,7,19.02,4.36,0.66,74.78
ARG,Argentina,BUENOS AIRES,2012,8,21.47,7.13,6.5,85.01
ARG,Argentina,BUENOS AIRES,2012,9,24.61,7.98,2.95,78.09
ARG,Argentina,BUENOS AIRES,2012,10,24.21,10.75,8.49,81.33
ARG,Argentina,BUENOS AIRES,2012,11,29.14,14.64,2.94,74.19
ARG,Argentina,BUENOS AIRES,2012,12,29.0,17.38,7.02,70.75
ARG,Argentina,BUENOS AIRES,2013,1,31.75,14.39,1.6,67.41
ARG,Argentina,BUENOS AIRES,2013,2,32.13,15.28,3.26,66.23
ARG,Argentina,BUENOS AIRES,2013,3,27.09,13.1,2.59,68.75
ARG,Argentina,BUENOS AIRES,2013,4,24.14,11.38,4.78,75.8
ARG,Argentina,BUENOS AIRES,2013,5,21.63,7.58,3.09,78.61
ARG,Argentina,BUENOS AIRES,2013,6,20.52,6.37,0.25,77.5
ARG,Argentina,BUENOS AIRES,2013,7,17.79,3.93,1.76,80.69
ARG,Argentina,BUENOS AIRES,2013,8,21.4,5.05,0.32,72.37
ARG,Argentina,BUENOS AIRES,2013,9,25.39,6.33,6.8,78.0
ARG,Argentina,BUENOS AIRES,2013,10,25.24,9.87,0.82,75.55
ARG,Argentina,BUENOS AIRES,2013,11,27.63,14.61,5.09,74.1
ARG,Argentina,BUENOS AIRES,2013,12,34.54,15.95,0.69,62.51
ARG,Argentina,BUENOS AIRES,2014,1,33.35,16.63,6.33,68.75
ARG,Argentina,BUENOS AIRES,2014,2,29.68,17.44,8.14,80.32
ARG,Argentina,BUENOS AIRES,2014,3,25.79,12.9,4.68,73.81
ARG,Argentina,BUENOS AIRES,2014,4,25.06,10.91,3.17,78.05
ARG,Argentina,BUENOS AIRES,2014,5,20.46,8.09,3.89,81.76
ARG,Argentina,BUENOS AIRES,2014,6,19.33,7.53,1.18,79.79
ARG,Argentina,BUENOS AIRES,2014,7,18.01,5.4,4.7,83.46
ARG,Argentina,BUENOS AIRES,2014,8,22.52,6.55,0.82,79.01
ARG,Argentina,BUENOS AIRES,2014,9,20.72,10.78,5.44,76.78
ARG,Argentina,BUENOS AIRES,2014,10,28.63,11.21,5.92,77.26
ARG,Argentina,BUENOS AIRES,2014,11,27.12,12.42,6.88,71.2
ARG,Argentina,BUENOS AIRES,2014,12,30.3,15.11,2.4,70.86
ARG,Argentina,BUENOS AIRES,2015,1,30.21,16.61,5.04,73.07
ARG,Argentina,BUENOS AIRES,2015,2,30.17,15.78,1.07,69.64
ARG,Argentina,BUENOS AIRES,2015,3,29.54,15.75,1.01,69.98
ARG,Argentina,BUENOS AIRES,2015,4,27.48,15.34,1.86,70.62
ARG,Argentina,BUENOS AIRES,2015,5,24.09,11.02,1.12,77.84
ARG,Argentina,BUENOS AIRES,2015,6,21.92,5.7,1.6,76.56
ARG,Argentina,BUENOS AIRES,2015,7,20.8,5.99,1.7,79.46
ARG,Argentina,BUENOS AIRES,2015,8,21.12,8.13,6.26,81.76
ARG,Argentina,BUENOS AIRES,2015,9,19.73,5.88,1.02,71.74
ARG,Argentina,BUENOS AIRES,2015,10,23.4,6.31,2.35,76.88
ARG,Argentina,BUENOS AIRES,2015,11,26.22,13.55,5.57,69.01
ARG,Argentina,BUENOS AIRES,2015,12,31.41,14.04,1.96,68.96
ARG,Argentina,BUENOS AIRES,2016,1,32.7,20.63,1.56,67.12
ARG,Argentina,BUENOS AIRES,2016,2,31.77,18.3,5.14,70.28
ARG,Argentina,BUENOS AIRES,2016,3,29.2,15.45,2.32,72.91
ARG,Argentina,BUENOS AIRES,2016,4,26.43,8.61,6.79,81.11
ARG,Argentina,BUENOS AIRES,2016,5,17.67,8.13,1.26,82.04
ARG,Argentina,BUENOS AIRES,2016,6,14.96,5.12,1.05,83.3
ARG,Argentina,BUENOS AIRES,2016,7,15.05,4.99,4.97,85.65
ARG,Argentina,BUENOS AIRES,2016,8,21.43,5.89,1.76,80.64
ARG,Argentina,BUENOS AIRES,2016,9,21.93,7.72,1.77,78.05
ARG,Argentina,BUENOS AIRES,2016,10,23.76,9.3,3.53,79.79
ARG,Argentina,BUENOS AIRES,2016,11,27.71,11.51,2.93,69.96
ARG,Argentina,BUENOS AIRES,2016,12,30.89,15.73,3.18,64.47
ARG,Argentina,BUENOS AIRES,2017,1,31.1,17.83,3.2,69.07
ARG,Argentina,BUENOS AIRES,2017,2,30.54,16.81,4.42,77.13
ARG,Argentina,BUENOS AIRES,2017,3,31.74,15.75,2.36,71.88
ARG,Argentina,BUENOS AIRES,2017,4,26.17,11.42,2.93,75.03
ARG,Argentina,BUENOS AIRES,2017,5,22.48,10.92,3.62,81.72
ARG,Argentina,BUENOS AIRES,2017,6,20.64,6.77,0.05,78.92
ARG,Argentina,BUENOS AIRES,2017,7,19.47,4.84,3.18,84.57
ARG,Argentina,BUENOS AIRES,2017,8,20.11,8.58,4.74,81.86
ARG,Argentina,BUENOS AIRES,2017,9,21.19,9.03,4.7,81.41
ARG,Argentina,BUENOS AIRES,2017,10,23.03,10.8,3.65,75.1
ARG,Argentina,BUENOS AIRES,2017,11,27.91,12.49,1.33,67.98
ARG,Argentina,BUENOS AIRES,2017,12,33.07,16.27,3.31,68.58
ARG,Argentina,BUENOS AIRES,2018,1,32.71,19.53,1.75,66.29
ARG,Argentina,BUENOS AIRES,2018,2,33.7,16.64,2.52,65.95
ARG,Argentina,BUENOS AIRES,2018,3,29.75,13.09,3.84,65.43
ARG,Argentina,BUENOS AIRES,2018,4,27.04,14.14,6.08,81.24
ARG,Argentina,BUENOS AIRES,2018,5,22.16,10.5,6.23,82.18
ARG,Argentina,BUENOS AIRES,2018,6,16.35,3.89,0.32,80.28
ARG,Argentina,BUENOS AIRES,2018,7,15.78,4.4,3.77,84.3
ARG,Argentina,BUENOS AIRES,2018,8,19.5,5.68,1.84,81.23
ARG,Argentina,BUENOS AIRES,2018,9,24.51,9.82,3.64,82.04
ARG,Argentina,BUENOS AIRES,2018,10,24.87,11.67,0.94,73.59
ARG,Argentina,BUENOS AIRES,2018,11,27.83,11.36,4.55,74.54
ARG,Argentina,BUENOS AIRES,2018,12,28.88,12.49,7.46,71.54
ARG,Argentina,BUENOS AIRES,2019,1,31.8,18.53,3.47,75.82
ARG,Argentina,BUENOS AIRES,2019,2,31.79,16.12,2.82,68.64
ARG,Argentina,BUENOS AIRES,2019,3,28.4,13.68,3.51,75.02
ARG,Argentina,BUENOS AIRES,2019,4,27.18,14.35,1.06,73.49
ARG,Argentina,BUENOS AIRES,2019,5,22.25,11.29,2.89,80.02
ARG,Argentina,BUENOS AIRES,2019,6,19.95,8.9,5.3,84.34
ARG,Argentina,BUENOS AIRES,2019,7,19.21,4.79,2.77,81.54
ARG,Argentina,BUENOS AIRES,2019,8,19.94,4.88,1.27,78.63
ARG,Argentina,BUENOS AIRES,2019,9,23.04,5.8,1.2,73.64
ARG,Argentina,BUENOS AIRES,2019,10,24.48,10.95,5.76,77.42
ARG,Argentina,BUENOS AIRES,2019,11,30.53,15.41,1.93,71.76
ARG,Argentina,BUENOS AIRES,2019,12,31.17,13.92,3.37,66.39
ARG,Argentina,BUENOS AIRES,2020,1,32.75,17.58,2.38,65.65
ARG,Argentina,BUENOS AIRES,2020,2,32.16,15.08,1.96,67.11
ARG,Argentina,BUENOS AIRES,2020,3,30.87,18.16,3.47,73.72
ARG,Argentina,BUENOS AIRES,2020,4,25.97,12.37,2.93,75.06
ARG,Argentina,BUENOS AIRES,2020,5,21.49,8.81,0.37,77.63
ARG,Argentina,BUENOS AIRES,2020,6,19.22,6.88,3.18,80.63
ARG,Argentina,BUENOS AIRES,2020,7,18.62,4.77,0.33,78.01
ARG,Argentina,BUENOS AIRES,2020,8,20.29,5.55,1.03,75.79
ARG,Argentina,BUENOS AIRES,2020,9,23.54,8.38,2.84,74.43
ARG,Argentina,BUENOS AIRES,2020,10,28.23,9.87,3.4,74.33
ARG,Argentina,BUENOS AIRES,2020,11,29.98,14.77,1.72,69.68
ARG,Argentina,BUENOS AIRES,2020,12,30.45,15.22,1.29,63.96
ARG,Argentina,BUENOS AIRES,2021,1,31.87,17.7,3.63,66.24
ARG,Argentina,BUENOS AIRES,2021,2,30.32,17.99,3.9,70.77
ARG,Argentina,BUENOS AIRES,2021,3,29.9,13.96,2.79,73.48
ARG,Argentina,BUENOS AIRES,2021,4,26.76,14.05,2.29,77.14
