iso_a0,adm_1_name,area_km2
ARG,BUENOS AIRES,203.3
ARG,CATAMARCA,102602.0
ARG,CHACO,99633.0
ARG,CORDOBA,165321.0
ARG,CORRIENTES,88199.0
ARG,ENTRE RIOS,78781.0
ARG,FORMOSA,72066.0
ARG,JUJUY,53219.0
ARG,LA RIOJA,89680.0
ARG,MENDOZA,148827.0
ARG,MISIONES,29801.0
ARG,SALTA,155488.0
ARG,SAN JUAN,89651.0
ARG,SAN LUIS,76748.0
ARG,SANTA FE,133007.0
ARG,SANTIAGO DEL ESTERO,136351.0
ARG,TUCUMAN,22524.0
BOL,BENI,213564.0
BOL,CHUQUISACA,51524.0
BOL,COCHABAMBA,55631.0
BOL,LA PAZ,133985.0
BOL,ORURO,53588.0
BOL,PANDO,63827.0
BOL,POTOSI,118218.0
BOL,SANTA CRUZ,370621.0
BOL,TARIJA,37623.0
BRA,ACRE,152581.0
BRA,ALAGOAS,27767.0
BRA,AMAPA,142814.6
BRA,AMAZONAS,1559167.9
BRA,BAHIA,565733.0
BRA,CEARA,146348.3
BRA,DISTRITO FEDERAL,5760.8
BRA,ESPIRITO SANTO,46077.5
BRA,GOIAS,340086.0
BRA,MARANHAO,331983.2
BRA,MATO GROSSO,903357.0
BRA,MATO GROSSO DO SUL,903357.0
BRA,MINAS GERAIS,586514.0
BRA,PARA,1245870.7
BRA,PARAIBA,56584.6
BRA,PARANA,199314.9
BRA,PERNAMBUCO,98937.8
BRA,PIAUI,251755.5
BRA,RIO DE JANEIRO,43696.1
BRA,RIO GRANDE DO NORTE,52810.0
BRA,RIO GRANDE DO SUL,281748.0
BRA,RONDONIA,237765.3
BRA,RORAIMA,223644.5
BRA,SANTA CATARINA,95730.7
BRA,SAO PAULO,248209.4
BRA,SERGIPE,22050.3
BRA,TOCANTINS,278420.7
COL,AMAZONAS,109665.0
COL,ANTIOQUIA,63612.0
COL,ARAUCA,23818.0
COL,ATLANTICO,3388.0
COL,BOGOTA,1578.0
COL,BOLIVAR,25978.0
COL,BOYACA,23189.0
COL,CALDAS,7888.0
COL,CAQUETA,88965.0
COL,CASANARE,44995.0
COL,CAUCA,29308.0
COL,CESAR,22905.0
COL,CHOCO,46530.0
COL,CORDOBA,25020.0
COL,CUNDINAMARCA,22623.0
COL,GUAINIA,72238.0
COL,GUAJIRA,20848.0
COL,GUAVIARE,53460.0
COL,HUILA,19890.0
COL,MAGDALENA,23188.0
COL,META,85635.0
COL,NARINO,33268.0
COL,NORTE SANTANDER,30537.0
COL,PUTUMAYO,24885.0
COL,QUINDIO,1845.0
COL,RISARALDA,3600.0
COL,SAN ANDRES,52.5
COL,SANTANDER,30537.0
COL,SUCRE,10917.0
COL,TOLIMA,23562.0
COL,VALLE,22140.0
COL,VAUPES,54135.0
COL,VICHADA,100242.0
ECU,AZUAY,8172.71
ECU,BOLIVAR,3956.93
ECU,CANAR,3647.22
ECU,CHIMBORAZO,6115.56
ECU,COTOPAXI,6187.71
ECU,EL ORO,5870.02
ECU,ESMERALDAS,15835.84
ECU,GALAPAGOS,8233.11
ECU,GUAYAS,15899.59
ECU,IMBABURA,4791.32
ECU,LOJA,11063.88
ECU,LOS RIOS,7238.25
ECU,MANABI,19516.6
ECU,MORONA SANTIAGO,24004.41
ECU,NAPO,12542.22
ECU,ORELLANA,21728.78
