pais,adm_1_name,anio,poblacion
Bolivia,BENI,2012,422008
Bolivia,BENI,2024,477441
Bolivia,CHUQUISACA,2012,531522
Bolivia,CHUQUISACA,2024,600132
Bolivia,COCHABAMBA,2012,1762761
Bolivia,COCHABAMBA,2024,2005373
Bolivia,LA PAZ,2012,2719344
Bolivia,LA PAZ,2024,3022566
Bolivia,ORURO,2012,494587
Bolivia,ORURO,2024,570194
Bolivia,PANDO,2012,110436
Bolivia,PANDO,2024,130761
Bolivia,POTOSI,2012,828093
Bolivia,POTOSI,2024,856419
Bolivia,SANTA CRUZ,2012,2657762
Bolivia,SANTA CRUZ,2024,3115386
Bolivia,TARIJA,2012,483518
Bolivia,TARIJA,2024,534348
