pais,adm_1_name,anio,poblacion
Brazil,ACRE,2010,733559
Brazil,ACRE,2022,830018
Brazil,ALAGOAS,2010,3120493
Brazil,ALAGOAS,2022,3127683
Brazil,AMAPA,2010,669526
Brazil,AMAPA,2022,733759
Brazil,AMAZONAS,2010,3483985
Brazil,AMAZONAS,2022,3941613
Brazil,BAHIA,2010,14016906
Brazil,BAHIA,2022,14141626
Brazil,CEARA,2010,8452381
Brazil,CEARA,2022,8794957
Brazil,DISTRITO FEDERAL,2010,2570160
Brazil,DISTRITO FEDERAL,2022,2817381
Brazil,ESPIRITO SANTO,2010,3514952
Brazil,ESPIRITO SANTO,2022,3833712
Brazil,GOIAS,2010,6003788
Brazil,GOIAS,2022,7056495
Brazil,MARANHAO,2010,6574789
Brazil,MARANHAO,2022,6755805
Brazil,MATO GROSSO,2010,3035122
Brazil,MATO GROSSO,2022,3658649
Brazil,MATO GROSSO DO SUL,2010,2449024
Brazil,MATO GROSSO DO SUL,2022,2757013
Brazil,MINAS GERAIS,2010,19597331
Brazil,MINAS GERAIS,2022,20539989
Brazil,PARA,2010,7581051
Brazil,PARA,2022,8121025
Brazil,PARAIBA,2010,3766528
Brazil,PARAIBA,2022,3974687
Brazil,PARANA,2010,10444526
Brazil,PARANA,2022,11444380
Brazil,PERNAMBUCO,2010,8796448
Brazil,PERNAMBUCO,2022,9058931
Brazil,PIAUI,2010,3118360
Brazil,PIAUI,2022,3271199
Brazil,RIO DE JANEIRO,2010,15989929
Brazil,RIO DE JANEIRO,2022,16055174
Brazil,RIO GRANDE DO NORTE,2010,3168027
Brazil,RIO GRANDE DO NORTE,2022,3302729
Brazil,RIO GRANDE DO SUL,2010,10693929
Brazil,RIO GRANDE DO SUL,2022,10882965
Brazil,RONDONIA,2010,1562409
Brazil,RONDONIA,2022,1581196
Brazil,RORAIMA,2010,450479
Brazil,RORAIMA,2022,636707
Brazil,SANTA CATARINA,2010,6248436
Brazil,SANTA CATARINA,2022,7610361
Brazil,SAO PAULO,2010,41262199
Brazil,SAO PAULO,2022,44411238
Brazil,SERGIPE,2010,2068017
Brazil,SERGIPE,2022,2210004
Brazil,TOCANTINS,2010,1383445
Brazil,TOCANTINS,2022,1511460
