pais,adm_1_name,anio,poblacion
Colombia,AMAZONAS,2005,46950
Colombia,AMAZONAS,2018,76589
Colombia,AMAZONAS,2022,82812
Colombia,ANTIOQUIA,2005,5601507
Colombia,ANTIOQUIA,2018,6407102
Colombia,ANTIOQUIA,2022,6718372
Colombia,ARAUCA,2005,153028
Colombia,ARAUCA,2018,262174
Colombia,ARAUCA,2022,295631
Colombia,ATLANTICO,2005,2112001
Colombia,ATLANTICO,2018,2535517
Colombia,ATLANTICO,2022,2712461
Colombia,BOGOTA,2005,6778691
Colombia,BOGOTA,2018,7412566
Colombia,BOGOTA,2022,7712756
Colombia,BOLIVAR,2005,1836640
Colombia,BOLIVAR,2018,2070110
Colombia,BOLIVAR,2022,2189344
Colombia,BOYACA,2005,1210982
Colombia,BOYACA,2018,1217376
Colombia,BOYACA,2022,1278374
Colombia,CALDAS,2005,898490
Colombia,CALDAS,2018,995670
Colombia,CALDAS,2022,1027448
Colombia,CAQUETA,2005,337932
Colombia,CAQUETA,2018,401849
Colombia,CAQUETA,2022,418440
Colombia,CASANARE,2005,281294
Colombia,CASANARE,2018,420504
Colombia,CASANARE,2022,455609
Colombia,CAUCA,2005,1182022
Colombia,CAUCA,2018,1464488
Colombia,CAUCA,2022,1536307
Colombia,CESAR,2005,878437
Colombia,CESAR,2018,1200574
Colombia,CESAR,2022,1323023
Colombia,CHOCO,2005,388476
Colombia,CHOCO,2018,534826
Colombia,CHOCO,2022,580687
Colombia,CORDOBA,2005,1462909
Colombia,CORDOBA,2018,1784783
Colombia,CORDOBA,2022,1867385
Colombia,CUNDINAMARCA,2005,2228682
Colombia,CUNDINAMARCA,2018,2919060
Colombia,CUNDINAMARCA,2022,3340973
Colombia,GUAINIA,2005,18797
Colombia,GUAINIA,2018,48114
Colombia,GUAINIA,2022,54472
Colombia,GUAJIRA,2005,655943
Colombia,GUAJIRA,2018,880560
Colombia,GUAJIRA,2022,991012
Colombia,GUAVIARE,2005,56758
Colombia,GUAVIARE,2018,82767
Colombia,GUAVIARE,2022,94464
Colombia,HUILA,2005,1001476
Colombia,HUILA,2018,1100386
Colombia,HUILA,2022,1160347
Colombia,MAGDALENA,2005,1136819
Colombia,MAGDALENA,2018,1341746
Colombia,MAGDALENA,2022,1448770
Colombia,META,2005,713772
Colombia,META,2018,1039722
Colombia,META,2022,1108653
Colombia,NARINO,2005,1498234
Colombia,NARINO,2018,1630592
Colombia,NARINO,2022,1681271
Colombia,NORTE SANTANDER,2005,1208336
Colombia,NORTE SANTANDER,2018,1491689
Colombia,NORTE SANTANDER,2022,1621005
Colombia,PUTUMAYO,2005,237197
Colombia,PUTUMAYO,2018,348182
Colombia,PUTUMAYO,2022,374357
Colombia,QUINDIO,2005,518691
Colombia,QUINDIO,2018,539904
Colombia,QUINDIO,2022,556279
Colombia,RISARALDA,2005,859666
Colombia,RISARALDA,2018,943401
Colombia,RISARALDA,2022,961251
Colombia,SAN ANDRES,2005,59573
Colombia,SAN ANDRES,2018,61280
Colombia,SAN ANDRES,2022,61795
Colombia,SANTANDER,2005,1913444
Colombia,SANTANDER,2018,2184837
Colombia,SANTANDER,2022,2303910
Colombia,SUCRE,2005,762263
Colombia,SUCRE,2018,904863
Colombia,SUCRE,2022,968842
Colombia,TOLIMA,2005,1312304
Colombia,TOLIMA,2018,1330187
Colombia,TOLIMA,2022,1362552
Colombia,VALLE,2005,4052535
Colombia,VALLE,2018,4475886
Colombia,VALLE,2022,4576815
Colombia,VAUPES,2005,19943
Colombia,VAUPES,2018,40797
Colombia,VAUPES,2022,45566
Colombia,VICHADA,2005,44592
Colombia,VICHADA,2018,107808
Colombia,VICHADA,2022,119042
