pais,adm_1_name,anio,poblacion
Nicaragua,BILWI,2005,314130
Nicaragua,BILWI,2022,552022
Nicaragua,BOACO,2005,150636
Nicaragua,BOACO,2022,187550
Nicaragua,CARAZO,2005,166074
Nicaragua,CARAZO,2022,199649
Nicaragua,CHINANDEGA,2005,378970
Nicaragua,CHINANDEGA,2022,443855
Nicaragua,CHONTALES,2005,153932
Nicaragua,CHONTALES,2022,192842
Nicaragua,ESTELI,2005,201548
Nicaragua,ESTELI,2022,232022
Nicaragua,GRANADA,2005,168186
Nicaragua,GRANADA,2022,217608
Nicaragua,JINOTEGA,2005,331334
Nicaragua,JINOTEGA,2022,491290
Nicaragua,LEON,2005,355779
Nicaragua,LEON,2022,424944
Nicaragua,MADRIZ,2005,132459
Nicaragua,MADRIZ,2022,179110
Nicaragua,MANAGUA,2005,1262977
Nicaragua,MANAGUA,2022,1572734
Nicaragua,MASAYA,2005,289988
Nicaragua,MASAYA,2022,403417
Nicaragua,MATAGALPA,2005,469172
Nicaragua,MATAGALPA,2022,606643
Nicaragua,NUEVA SEGOVIA,2005,208523
Nicaragua,NUEVA SEGOVIA,2022,279032
Nicaragua,REGION AUTONOMA DEL ATLANTICO SUR,2005,152427
Nicaragua,REGION AUTONOMA DEL ATLANTICO SUR,2022,212601
Nicaragua,RIO SAN JUAN,2005,95596
Nicaragua,RIO SAN JUAN,2022,138969
Nicaragua,RIVAS,2005,156283
Nicaragua,RIVAS,2022,184566
Nicaragua,ZELAYA CENTRAL,2005,154083
Nicaragua,ZELAYA CENTRAL,2022,214909
