iso_a0,pais,adm_1_name,ano,mes,casos_dengue,incidencia_dengue,agua_basica,tmax_promedio,tmin_promedio,precipitacion,humedad_promedio,poblacion,densidad_poblacion
ARG,Argentina,BUENOS AIRES,2014,1,0,0.0,98.9232,33.35,16.63,6.33,68.75,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,2,0,0.0,98.9232,29.68,17.44,8.14,80.32,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,3,0,0.0,98.9232,25.79,12.9,4.68,73.81,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,4,0,0.0,98.9232,25.06,10.91,3.17,78.05,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,5,0,0.0,98.9232,20.46,8.09,3.89,81.76,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,6,0,0.0,98.9232,19.33,7.53,1.18,79.79,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,7,0,0.0,98.9232,18.01,5.4,4.7,83.46,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,8,0,0.0,98.9232,22.52,6.55,0.82,79.01,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,9,0,0.0,98.9232,20.72,10.78,5.44,76.78,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,10,0,0.0,98.9232,28.63,11.21,5.92,77.26,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,11,0,0.0,98.9232,27.12,12.42,6.88,71.2,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2014,12,0,0.0,98.9232,30.3,15.11,2.4,70.86,16258055,79970.7575
ARG,Argentina,BUENOS AIRES,2015,1,0,0.0,98.9823,30.21,16.61,5.04,73.07,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,2,0,0.0,98.9823,30.17,15.78,1.07,69.64,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,3,0,0.0,98.9823,29.54,15.75,1.01,69.98,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,4,0,0.0,98.9823,27.48,15.34,1.86,70.62,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,5,0,0.0,98.9823,24.09,11.02,1.12,77.84,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,6,0,0.0,98.9823,21.92,5.7,1.6,76.56,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,7,0,0.0,98.9823,20.8,5.99,1.7,79.46,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,8,0,0.0,98.9823,21.12,8.13,6.26,81.76,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,9,0,0.0,98.9823,19.73,5.88,1.02,71.74,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,10,0,0.0,98.9823,23.4,6.31,2.35,76.88,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,11,0,0.0,98.9823,26.22,13.55,5.57,69.01,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2015,12,0,0.0,98.9823,31.41,14.04,1.96,68.96,16416297,80749.1244
ARG,Argentina,BUENOS AIRES,2016,1,0,0.0,99.0414,32.7,20.63,1.56,67.12,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,2,0,0.0,99.0414,31.77,18.3,5.14,70.28,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,3,0,0.0,99.0414,29.2,15.45,2.32,72.91,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,4,0,0.0,99.0414,26.43,8.61,6.79,81.11,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,5,0,0.0,99.0414,17.67,8.13,1.26,82.04,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,6,0,0.0,99.0414,14.96,5.12,1.05,83.3,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,7,0,0.0,99.0414,15.05,4.99,4.97,85.65,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,8,0,0.0,99.0414,21.43,5.89,1.76,80.64,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,9,0,0.0,99.0414,21.93,7.72,1.77,78.05,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,10,0,0.0,99.0414,23.76,9.3,3.53,79.79,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,11,0,0.0,99.0414,27.71,11.51,2.93,69.96,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2016,12,0,0.0,99.0414,30.89,15.73,3.18,64.47,16574540,81527.4963
ARG,Argentina,BUENOS AIRES,2017,1,0,0.0,99.0414,31.1,17.83,3.2,69.07,16732783,82305.8682
ARG,Argentina,BUENOS AIRES,2017,2,0,0.0,99.0414,30.54,16.81,4.42,77.13,16732783,82305.8682
ARG,Argentina,BUENOS AIRES,2017,3,0,0.0,99.0414,31.74,15.75,2.36,71.88,16732783,82305.8682
