pais,adm_1_name,ano,poblacion
Argentina,BUENOS AIRES,2014,16258055
Argentina,BUENOS AIRES,2015,16416297
Argentina,BUENOS AIRES,2016,16574540
Argentina,BUENOS AIRES,2017,16732783
Argentina,BUENOS AIRES,2018,16891025
Argentina,BUENOS AIRES,2019,17049268
Argentina,BUENOS AIRES,2020,17207511
Argentina,BUENOS AIRES,2021,17365753
Argentina,BUENOS AIRES,2022,17523996
Argentina,BUENOS AIRES,2023,17682239
Argentina,BUENOS AIRES,2024,17840481
Argentina,CATAMARCA,2014,388406
Argentina,CATAMARCA,2015,393550
Argentina,CATAMARCA,2016,398695
Argentina,CATAMARCA,2017,403840
Argentina,CATAMARCA,2018,408984
Argentina,CATAMARCA,2019,414128
Argentina,CATAMARCA,2020,419273
Argentina,CATAMARCA,2021,424418
Argentina,CATAMARCA,2022,429562
Argentina,CATAMARCA,2023,434706
Argentina,CATAMARCA,2024,439851
Argentina,CHACO,2014,1080041
Argentina,CHACO,2015,1086237
Argentina,CHACO,2016,1092432
Argentina,CHACO,2017,1098628
Argentina,CHACO,2018,1104824
Argentina,CHACO,2019,1111019
Argentina,CHACO,2020,1117215
Argentina,CHACO,2021,1123410
Argentina,CHACO,2022,1129606
Argentina,CHACO,2023,1135802
Argentina,CHACO,2024,1141997
Argentina,CORDOBA,2014,3486219
Argentina,CORDOBA,2015,3530555
Argentina,CORDOBA,2016,3574890
Argentina,CORDOBA,2017,3619226
Argentina,CORDOBA,2018,3663562
Argentina,CORDOBA,2019,3707898
Argentina,CORDOBA,2020,3752234
Argentina,CORDOBA,2021,3796569
Argentina,CORDOBA,2022,3840905
Argentina,CORDOBA,2023,3885241
Argentina,CORDOBA,2024,3929576
Argentina,CORRIENTES,2014,1065962
Argentina,CORRIENTES,2015,1084304
Argentina,CORRIENTES,2016,1102646
Argentina,CORRIENTES,2017,1120987
Argentina,CORRIENTES,2018,1139329
Argentina,CORRIENTES,2019,1157671
Argentina,CORRIENTES,2020,1176012
Argentina,CORRIENTES,2021,1194354
Argentina,CORRIENTES,2022,1212696
Argentina,CORRIENTES,2023,1231038
Argentina,CORRIENTES,2024,1249380
Argentina,ENTRE RIOS,2014,1299189
Argentina,ENTRE RIOS,2015,1314987
Argentina,ENTRE RIOS,2016,1330786
Argentina,ENTRE RIOS,2017,1346585
Argentina,ENTRE RIOS,2018,1362383
Argentina,ENTRE RIOS,2019,1378182
Argentina,ENTRE RIOS,2020,1393981
Argentina,ENTRE RIOS,2021,1409779
Argentina,ENTRE RIOS,2022,1425578
Argentina,ENTRE RIOS,2023,1441377
Argentina,ENTRE RIOS,2024,1457175
Argentina,FORMOSA,2014,555914
Argentina,FORMOSA,2015,562352
Argentina,FORMOSA,2016,568790
Argentina,FORMOSA,2017,575228
Argentina,FORMOSA,2018,581666
Argentina,FORMOSA,2019,588104
Argentina,FORMOSA,2020,594543
Argentina,FORMOSA,2021,600981
Argentina,FORMOSA,2022,607419
Argentina,FORMOSA,2023,613857
Argentina,FORMOSA,2024,620295
Argentina,JUJUY,2014,719408
Argentina,JUJUY,2015,730934
Argentina,JUJUY,2016,742459
Argentina,JUJUY,2017,753984
Argentina,JUJUY,2018,765510
Argentina,JUJUY,2019,777035
Argentina,JUJUY,2020,788560
Argentina,JUJUY,2021,800086
Argentina,JUJUY,2022,811611
Argentina,JUJUY,2023,823136
Argentina,JUJUY,2024,834662
Argentina,LA RIOJA,2014,350383
Argentina,LA RIOJA,2015,354568
Argentina,LA RIOJA,2016,358754
Argentina,LA RIOJA,2017,362939
Argentina,LA RIOJA,2018,367124
Argentina,LA RIOJA,2019,371309
Argentina,LA RIOJA,2020,375494
Argentina,LA RIOJA,2021,379680
Argentina,LA RIOJA,2022,383865
Argentina,LA RIOJA,2023,388050
Argentina,LA RIOJA,2024,392236
Argentina,MENDOZA,2014,1840466
Argentina,MENDOZA,2015,1865850
Argentina,MENDOZA,2016,1891234
Argentina,MENDOZA,2017,1916619
Argentina,MENDOZA,2018,1942003
Argentina,MENDOZA,2019,1967387
Argentina,MENDOZA,2020,1992772
Argentina,MENDOZA,2021,2018156
Argentina,MENDOZA,2022,2043540
Argentina,MENDOZA,2023,2068924
Argentina,MENDOZA,2024,2094308
Argentina,MISIONES,2014,1160686
Argentina,MISIONES,2015,1175460
Argentina,MISIONES,2016,1190233
Argentina,MISIONES,2017,1205006
Argentina,MISIONES,2018,1219780
Argentina,MISIONES,2019,1234553
Argentina,MISIONES,2020,1249326
Argentina,MISIONES,2021,1264100
Argentina,MISIONES,2022,1278873
Argentina,MISIONES,2023,1293646
Argentina,MISIONES,2024,1308420
Argentina,SALTA,2014,1290078
Argentina,SALTA,2015,1308987
Argentina,SALTA,2016,1327896
Argentina,SALTA,2017,1346805
Argentina,SALTA,2018,1365714
Argentina,SALTA,2019,1384624
Argentina,SALTA,2020,1403533
Argentina,SALTA,2021,1422442
Argentina,SALTA,2022,1441351
Argentina,SALTA,2023,1460260
Argentina,SALTA,2024,1479169
Argentina,SAN JUAN,2014,728321
Argentina,SAN JUAN,2015,740138
Argentina,SAN JUAN,2016,751954
Argentina,SAN JUAN,2017,763770
Argentina,SAN JUAN,2018,775587
Argentina,SAN JUAN,2019,787404
Argentina,SAN JUAN,2020,799220
Argentina,SAN JUAN,2021,811036
Argentina,SAN JUAN,2022,822853
Argentina,SAN JUAN,2023,834670
Argentina,SAN JUAN,2024,846486
Argentina,SAN LUIS,2014,468896
Argentina,SAN LUIS,2015,478043
Argentina,SAN LUIS,2016,487190
Argentina,SAN LUIS,2017,496336
Argentina,SAN LUIS,2018,505483
Argentina,SAN LUIS,2019,514629
Argentina,SAN LUIS,2020,523776
Argentina,SAN LUIS,2021,532922
Argentina,SAN LUIS,2022,542069
Argentina,SAN LUIS,2023,551216
Argentina,SAN LUIS,2024,560362
Argentina,SANTA FE,2014,3311327
Argentina,SANTA FE,2015,3340525
Argentina,SANTA FE,2016,3369722
Argentina,SANTA FE,2017,3398920
Argentina,SANTA FE,2018,3428118
Argentina,SANTA FE,2019,3457315
Argentina,SANTA FE,2020,3486513
Argentina,SANTA FE,2021,3515710
Argentina,SANTA FE,2022,3544908
Argentina,SANTA FE,2023,3574106
Argentina,SANTA FE,2024,3603303
Argentina,SANTIAGO DEL ESTERO,2014,936306
Argentina,SANTIAGO DEL ESTERO,2015,951881
Argentina,SANTIAGO DEL ESTERO,2016,967456
Argentina,SANTIAGO DEL ESTERO,2017,983031
Argentina,SANTIAGO DEL ESTERO,2018,998606
Argentina,SANTIAGO DEL ESTERO,2019,1014181
Argentina,SANTIAGO DEL ESTERO,2020,1029756
Argentina,SANTIAGO DEL ESTERO,2021,1045331
