pais,adm_1_name,ano,poblacion
Colombia,AMAZONAS,2014,67469
Colombia,AMAZONAS,2015,69749
Colombia,AMAZONAS,2016,72029
Colombia,AMAZONAS,2017,74309
Colombia,AMAZONAS,2018,76589
Colombia,AMAZONAS,2019,78145
Colombia,AMAZONAS,2020,79700
Colombia,AMAZONAS,2021,81256
Colombia,AMAZONAS,2022,82812
Colombia,AMAZONAS,2023,84368
Colombia,AMAZONAS,2024,85924
Colombia,ANTIOQUIA,2014,6159227
Colombia,ANTIOQUIA,2015,6221195
Colombia,ANTIOQUIA,2016,6283164
Colombia,ANTIOQUIA,2017,6345133
Colombia,ANTIOQUIA,2018,6407102
Colombia,ANTIOQUIA,2019,6484920
Colombia,ANTIOQUIA,2020,6562737
Colombia,ANTIOQUIA,2021,6640554
Colombia,ANTIOQUIA,2022,6718372
Colombia,ANTIOQUIA,2023,6796190
Colombia,ANTIOQUIA,2024,6874007
Colombia,ARAUCA,2014,228591
Colombia,ARAUCA,2015,236986
Colombia,ARAUCA,2016,245382
Colombia,ARAUCA,2017,253778
Colombia,ARAUCA,2018,262174
Colombia,ARAUCA,2019,270538
Colombia,ARAUCA,2020,278902
Colombia,ARAUCA,2021,287267
Colombia,ARAUCA,2022,295631
Colombia,ARAUCA,2023,303995
Colombia,ARAUCA,2024,312360
Colombia,ATLANTICO,2014,2405204
Colombia,ATLANTICO,2015,2437783
Colombia,ATLANTICO,2016,2470361
Colombia,ATLANTICO,2017,2502939
Colombia,ATLANTICO,2018,2535517
Colombia,ATLANTICO,2019,2579753
Colombia,ATLANTICO,2020,2623989
Colombia,ATLANTICO,2021,2668225
Colombia,ATLANTICO,2022,2712461
Colombia,ATLANTICO,2023,2756697
Colombia,ATLANTICO,2024,2800933
Colombia,BOGOTA,2014,7217528
Colombia,BOGOTA,2015,7266287
Colombia,BOGOTA,2016,7315047
Colombia,BOGOTA,2017,7363806
Colombia,BOGOTA,2018,7412566
Colombia,BOGOTA,2019,7487614
Colombia,BOGOTA,2020,7562661
Colombia,BOGOTA,2021,7637708
Colombia,BOGOTA,2022,7712756
Colombia,BOGOTA,2023,7787804
Colombia,BOGOTA,2024,7862851
Colombia,BOLIVAR,2014,1998273
Colombia,BOLIVAR,2015,2016232
Colombia,BOLIVAR,2016,2034192
Colombia,BOLIVAR,2017,2052151
Colombia,BOLIVAR,2018,2070110
Colombia,BOLIVAR,2019,2099918
Colombia,BOLIVAR,2020,2129727
Colombia,BOLIVAR,2021,2159536
Colombia,BOLIVAR,2022,2189344
Colombia,BOLIVAR,2023,2219152
Colombia,BOLIVAR,2024,2248961
Colombia,BOYACA,2014,1215409
Colombia,BOYACA,2015,1215900
Colombia,BOYACA,2016,1216392
Colombia,BOYACA,2017,1216884
Colombia,BOYACA,2018,1217376
Colombia,BOYACA,2019,1232626
Colombia,BOYACA,2020,1247875
Colombia,BOYACA,2021,1263124
Colombia,BOYACA,2022,1278374
Colombia,BOYACA,2023,1293624
Colombia,BOYACA,2024,1308873
Colombia,CALDAS,2014,965768
Colombia,CALDAS,2015,973244
Colombia,CALDAS,2016,980719
Colombia,CALDAS,2017,988195
Colombia,CALDAS,2018,995670
Colombia,CALDAS,2019,1003614
Colombia,CALDAS,2020,1011559
Colombia,CALDAS,2021,1019504
Colombia,CALDAS,2022,1027448
Colombia,CALDAS,2023,1035392
Colombia,CALDAS,2024,1043337
Colombia,CAQUETA,2014,382182
Colombia,CAQUETA,2015,387099
Colombia,CAQUETA,2016,392016
Colombia,CAQUETA,2017,396932
Colombia,CAQUETA,2018,401849
Colombia,CAQUETA,2019,405997
Colombia,CAQUETA,2020,410144
Colombia,CAQUETA,2021,414292
Colombia,CAQUETA,2022,418440
Colombia,CAQUETA,2023,422588
Colombia,CAQUETA,2024,426736
Colombia,CASANARE,2014,377670
Colombia,CASANARE,2015,388379
Colombia,CASANARE,2016,399087
Colombia,CASANARE,2017,409796
Colombia,CASANARE,2018,420504
Colombia,CASANARE,2019,429280
Colombia,CASANARE,2020,438056
Colombia,CASANARE,2021,446833
Colombia,CASANARE,2022,455609
Colombia,CASANARE,2023,464385
Colombia,CASANARE,2024,473162
Colombia,CAUCA,2014,1377575
Colombia,CAUCA,2015,1399304
Colombia,CAUCA,2016,1421032
Colombia,CAUCA,2017,1442760
Colombia,CAUCA,2018,1464488
Colombia,CAUCA,2019,1482443
Colombia,CAUCA,2020,1500398
Colombia,CAUCA,2021,1518352
Colombia,CAUCA,2022,1536307
Colombia,CAUCA,2023,1554262
Colombia,CAUCA,2024,1572216
Colombia,CESAR,2014,1101455
Colombia,CESAR,2015,1126235
Colombia,CESAR,2016,1151014
Colombia,CESAR,2017,1175794
Colombia,CESAR,2018,1200574
Colombia,CESAR,2019,1231186
Colombia,CESAR,2020,1261798
Colombia,CESAR,2021,1292411
Colombia,CESAR,2022,1323023
Colombia,CESAR,2023,1353635
Colombia,CESAR,2024,1384248
Colombia,CHOCO,2014,489795
Colombia,CHOCO,2015,501053
Colombia,CHOCO,2016,512311
Colombia,CHOCO,2017,523568
Colombia,CHOCO,2018,534826
Colombia,CHOCO,2019,546291
Colombia,CHOCO,2020,557756
Colombia,CHOCO,2021,569222
Colombia,CHOCO,2022,580687
Colombia,CHOCO,2023,592152
Colombia,CHOCO,2024,603618
Colombia,CORDOBA,2014,1685745
Colombia,CORDOBA,2015,1710504
Colombia,CORDOBA,2016,1735264
Colombia,CORDOBA,2017,1760023
Colombia,CORDOBA,2018,1784783
Colombia,CORDOBA,2019,1805434
Colombia,CORDOBA,2020,1826084
Colombia,CORDOBA,2021,1846734
Colombia,CORDOBA,2022,1867385
Colombia,CORDOBA,2023,1888036
Colombia,CORDOBA,2024,1908686
Colombia,CUNDINAMARCA,2014,2706636
Colombia,CUNDINAMARCA,2015,2759742
Colombia,CUNDINAMARCA,2016,2812848
Colombia,CUNDINAMARCA,2017,2865954
Colombia,CUNDINAMARCA,2018,2919060
Colombia,CUNDINAMARCA,2019,3024538
Colombia,CUNDINAMARCA,2020,3130016
Colombia,CUNDINAMARCA,2021,3235495
Colombia,CUNDINAMARCA,2022,3340973
Colombia,CUNDINAMARCA,2023,3446451
Colombia,CUNDINAMARCA,2024,3551930
Colombia,GUAINIA,2014,39093
Colombia,GUAINIA,2015,41349
Colombia,GUAINIA,2016,43604
Colombia,GUAINIA,2017,45859
Colombia,GUAINIA,2018,48114
Colombia,GUAINIA,2019,49704
Colombia,GUAINIA,2020,51293
Colombia,GUAINIA,2021,52882
Colombia,GUAINIA,2022,54472
Colombia,GUAINIA,2023,56062
Colombia,GUAINIA,2024,57651
Colombia,GUAJIRA,2014,811447
Colombia,GUAJIRA,2015,828725
Colombia,GUAJIRA,2016,846004
Colombia,GUAJIRA,2017,863282
Colombia,GUAJIRA,2018,880560
Colombia,GUAJIRA,2019,908173
Colombia,GUAJIRA,2020,935786
Colombia,GUAJIRA,2021,963399
Colombia,GUAJIRA,2022,991012
Colombia,GUAJIRA,2023,1018625
Colombia,GUAJIRA,2024,1046238
Colombia,GUAVIARE,2014,74764
Colombia,GUAVIARE,2015,76765
Colombia,GUAVIARE,2016,78766
Colombia,GUAVIARE,2017,80766
Colombia,GUAVIARE,2018,82767
Colombia,GUAVIARE,2019,85691
Colombia,GUAVIARE,2020,88616
Colombia,GUAVIARE,2021,91540
Colombia,GUAVIARE,2022,94464
Colombia,GUAVIARE,2023,97388
Colombia,GUAVIARE,2024,100312
Colombia,HUILA,2014,1069952
Colombia,HUILA,2015,1077561
Colombia,HUILA,2016,1085169
Colombia,HUILA,2017,1092778
Colombia,HUILA,2018,1100386
Colombia,HUILA,2019,1115376
Colombia,HUILA,2020,1130366
Colombia,HUILA,2021,1145357
Colombia,HUILA,2022,1160347
Colombia,HUILA,2023,1175337
Colombia,HUILA,2024,1190328
Colombia,MAGDALENA,2014,1278692
Colombia,MAGDALENA,2015,1294455
Colombia,MAGDALENA,2016,1310219
Colombia,MAGDALENA,2017,1325982
Colombia,MAGDALENA,2018,1341746
Colombia,MAGDALENA,2019,1368502
Colombia,MAGDALENA,2020,1395258
Colombia,MAGDALENA,2021,1422014
Colombia,MAGDALENA,2022,1448770
Colombia,MAGDALENA,2023,1475526
Colombia,MAGDALENA,2024,1502282
Colombia,META,2014,939430
Colombia,META,2015,964503
Colombia,META,2016,989576
Colombia,META,2017,1014649
Colombia,META,2018,1039722
Colombia,META,2019,1056955
Colombia,META,2020,1074188
Colombia,META,2021,1091420
Colombia,META,2022,1108653
Colombia,META,2023,1125886
Colombia,META,2024,1143118
Colombia,NARINO,2014,1589866
Colombia,NARINO,2015,1600048
Colombia,NARINO,2016,1610229
Colombia,NARINO,2017,1620411
Colombia,NARINO,2018,1630592
Colombia,NARINO,2019,1643262
Colombia,NARINO,2020,1655932
Colombia,NARINO,2021,1668601
Colombia,NARINO,2022,1681271
Colombia,NARINO,2023,1693941
Colombia,NARINO,2024,1706610
Colombia,NORTE SANTANDER,2014,1404503
Colombia,NORTE SANTANDER,2015,1426300
Colombia,NORTE SANTANDER,2016,1448096
Colombia,NORTE SANTANDER,2017,1469893
Colombia,NORTE SANTANDER,2018,1491689
Colombia,NORTE SANTANDER,2019,1524018
Colombia,NORTE SANTANDER,2020,1556347
Colombia,NORTE SANTANDER,2021,1588676
