pais,adm_1_name,ano,poblacion
Nicaragua,BILWI,2014,440073
Nicaragua,BILWI,2015,454066
Nicaragua,BILWI,2016,468060
Nicaragua,BILWI,2017,482054
Nicaragua,BILWI,2018,496047
Nicaragua,BILWI,2019,510041
Nicaragua,BILWI,2020,524035
Nicaragua,BILWI,2021,538028
Nicaragua,BILWI,2022,552022
Nicaragua,BILWI,2023,566016
Nicaragua,BILWI,2024,580009
Nicaragua,BOACO,2014,170179
Nicaragua,BOACO,2015,172350
Nicaragua,BOACO,2016,174522
Nicaragua,BOACO,2017,176693
Nicaragua,BOACO,2018,178864
Nicaragua,BOACO,2019,181036
Nicaragua,BOACO,2020,183207
Nicaragua,BOACO,2021,185379
Nicaragua,BOACO,2022,187550
Nicaragua,BOACO,2023,189721
Nicaragua,BOACO,2024,191893
Nicaragua,CARAZO,2014,183849
Nicaragua,CARAZO,2015,185824
Nicaragua,CARAZO,2016,187799
Nicaragua,CARAZO,2017,189774
Nicaragua,CARAZO,2018,191749
Nicaragua,CARAZO,2019,193724
Nicaragua,CARAZO,2020,195699
Nicaragua,CARAZO,2021,197674
Nicaragua,CARAZO,2022,199649
Nicaragua,CARAZO,2023,201624
Nicaragua,CARAZO,2024,203599
Nicaragua,CHINANDEGA,2014,413321
Nicaragua,CHINANDEGA,2015,417138
Nicaragua,CHINANDEGA,2016,420954
Nicaragua,CHINANDEGA,2017,424771
Nicaragua,CHINANDEGA,2018,428588
Nicaragua,CHINANDEGA,2019,432405
Nicaragua,CHINANDEGA,2020,436221
Nicaragua,CHINANDEGA,2021,440038
Nicaragua,CHINANDEGA,2022,443855
Nicaragua,CHINANDEGA,2023,447672
Nicaragua,CHINANDEGA,2024,451489
Nicaragua,CHONTALES,2014,174531
Nicaragua,CHONTALES,2015,176820
Nicaragua,CHONTALES,2016,179109
Nicaragua,CHONTALES,2017,181398
Nicaragua,CHONTALES,2018,183687
Nicaragua,CHONTALES,2019,185976
Nicaragua,CHONTALES,2020,188264
Nicaragua,CHONTALES,2021,190553
Nicaragua,CHONTALES,2022,192842
Nicaragua,CHONTALES,2023,195131
Nicaragua,CHONTALES,2024,197420
Nicaragua,ESTELI,2014,217681
Nicaragua,ESTELI,2015,219474
Nicaragua,ESTELI,2016,221266
Nicaragua,ESTELI,2017,223059
Nicaragua,ESTELI,2018,224852
Nicaragua,ESTELI,2019,226644
Nicaragua,ESTELI,2020,228437
Nicaragua,ESTELI,2021,230229
Nicaragua,ESTELI,2022,232022
Nicaragua,ESTELI,2023,233815
Nicaragua,ESTELI,2024,235607
Nicaragua,GRANADA,2014,194351
Nicaragua,GRANADA,2015,197258
Nicaragua,GRANADA,2016,200165
Nicaragua,GRANADA,2017,203072
Nicaragua,GRANADA,2018,205979
Nicaragua,GRANADA,2019,208886
Nicaragua,GRANADA,2020,211794
Nicaragua,GRANADA,2021,214701
Nicaragua,GRANADA,2022,217608
Nicaragua,GRANADA,2023,220515
Nicaragua,GRANADA,2024,223422
Nicaragua,JINOTEGA,2014,416017
Nicaragua,JINOTEGA,2015,425426
Nicaragua,JINOTEGA,2016,434835
Nicaragua,JINOTEGA,2017,444244
Nicaragua,JINOTEGA,2018,453653
Nicaragua,JINOTEGA,2019,463062
Nicaragua,JINOTEGA,2020,472472
Nicaragua,JINOTEGA,2021,481881
