pais,adm_1_name,anio,poblacion
Mexico,AGUASCALIENTES,2014,1281240
Mexico,AGUASCALIENTES,2015,1305302
Mexico,AGUASCALIENTES,2016,1329363
Mexico,AGUASCALIENTES,2017,1353424
Mexico,AGUASCALIENTES,2018,1377485
Mexico,AGUASCALIENTES,2019,1401546
Mexico,AGUASCALIENTES,2020,1425607
Mexico,AGUASCALIENTES,2021,1450309
Mexico,AGUASCALIENTES,2022,1475011
Mexico,BAJA CALIFORNIA,2014,3400650
Mexico,BAJA CALIFORNIA,2015,3462045
Mexico,BAJA CALIFORNIA,2016,3523440
Mexico,BAJA CALIFORNIA,2017,3584835
Mexico,BAJA CALIFORNIA,2018,3646230
Mexico,BAJA CALIFORNIA,2019,3707625
Mexico,BAJA CALIFORNIA,2020,3769020
Mexico,BAJA CALIFORNIA,2021,3841540
Mexico,BAJA CALIFORNIA,2022,3914060
Mexico,BAJA CALIFORNIA SUR,2014,701594
Mexico,BAJA CALIFORNIA SUR,2015,717736
Mexico,BAJA CALIFORNIA SUR,2016,733879
Mexico,BAJA CALIFORNIA SUR,2017,750021
Mexico,BAJA CALIFORNIA SUR,2018,766163
Mexico,BAJA CALIFORNIA SUR,2019,782305
Mexico,BAJA CALIFORNIA SUR,2020,798447
Mexico,BAJA CALIFORNIA SUR,2021,819568
Mexico,BAJA CALIFORNIA SUR,2022,840689
Mexico,CAMPECHE,2014,864810
Mexico,CAMPECHE,2015,875402
Mexico,CAMPECHE,2016,885994
Mexico,CAMPECHE,2017,896586
Mexico,CAMPECHE,2018,907179
Mexico,CAMPECHE,2019,917771
Mexico,CAMPECHE,2020,928363
Mexico,CAMPECHE,2021,934404
Mexico,CAMPECHE,2022,940445
Mexico,CHIAPAS,2014,5095479
Mexico,CHIAPAS,2015,5170204
Mexico,CHIAPAS,2016,5244929
Mexico,CHIAPAS,2017,5319654
Mexico,CHIAPAS,2018,5394378
Mexico,CHIAPAS,2019,5469103
Mexico,CHIAPAS,2020,5543828
Mexico,CHIAPAS,2021,5656643
Mexico,CHIAPAS,2022,5769458
Mexico,CHIHUAHUA,2014,3540627
Mexico,CHIHUAHUA,2015,3574167
Mexico,CHIHUAHUA,2016,3607707
Mexico,CHIHUAHUA,2017,3641248
Mexico,CHIHUAHUA,2018,3674788
Mexico,CHIHUAHUA,2019,3708329
Mexico,CHIHUAHUA,2020,3741869
Mexico,CHIHUAHUA,2021,3802121
Mexico,CHIHUAHUA,2022,3862373
Mexico,COAHUILA,2014,2907743
Mexico,COAHUILA,2015,2947581
Mexico,COAHUILA,2016,2987419
Mexico,COAHUILA,2017,3027257
Mexico,COAHUILA,2018,3067095
Mexico,COAHUILA,2019,3106933
Mexico,COAHUILA,2020,3146771
Mexico,COAHUILA,2021,3197468
Mexico,COAHUILA,2022,3248165
Mexico,COLIMA,2014,682889
Mexico,COLIMA,2015,690973
Mexico,COLIMA,2016,699057
Mexico,COLIMA,2017,707140
Mexico,COLIMA,2018,715224
Mexico,COLIMA,2019,723307
Mexico,COLIMA,2020,731391
Mexico,COLIMA,2021,738534
Mexico,COLIMA,2022,745677
Mexico,DISTRITO FEDERAL,2014,8847121
Mexico,DISTRITO FEDERAL,2015,8907592
Mexico,DISTRITO FEDERAL,2016,8968062
Mexico,DISTRITO FEDERAL,2017,9028532
Mexico,DISTRITO FEDERAL,2018,9089003
Mexico,DISTRITO FEDERAL,2019,9149474
Mexico,DISTRITO FEDERAL,2020,9209944
Mexico,DISTRITO FEDERAL,2021,9204687
Mexico,DISTRITO FEDERAL,2022,9199430
Mexico,DURANGO,2014,1712820
Mexico,DURANGO,2015,1732792
Mexico,DURANGO,2016,1752764
Mexico,DURANGO,2017,1772735
Mexico,DURANGO,2018,1792707
Mexico,DURANGO,2019,1812678
Mexico,DURANGO,2020,1832650
Mexico,DURANGO,2021,1851546
Mexico,DURANGO,2022,1870441
Mexico,GUANAJUATO,2014,5758597
Mexico,GUANAJUATO,2015,5826653
Mexico,GUANAJUATO,2016,5894709
Mexico,GUANAJUATO,2017,5962765
Mexico,GUANAJUATO,2018,6030822
Mexico,GUANAJUATO,2019,6098878
Mexico,GUANAJUATO,2020,6166934
Mexico,GUANAJUATO,2021,6241081
Mexico,GUANAJUATO,2022,6315228
Mexico,GUERRERO,2014,3449535
Mexico,GUERRERO,2015,3464726
Mexico,GUERRERO,2016,3479918
Mexico,GUERRERO,2017,3495110
Mexico,GUERRERO,2018,3510302
Mexico,GUERRERO,2019,3525493
Mexico,GUERRERO,2020,3540685
Mexico,GUERRERO,2021,3554035
Mexico,GUERRERO,2022,3567385
Mexico,HIDALGO,2014,2832147
Mexico,HIDALGO,2015,2873930
Mexico,HIDALGO,2016,2915712
Mexico,HIDALGO,2017,2957494
Mexico,HIDALGO,2018,2999276
Mexico,HIDALGO,2019,3041059
Mexico,HIDALGO,2020,3082841
Mexico,HIDALGO,2021,3126244
Mexico,HIDALGO,2022,3169647
Mexico,JALISCO,2014,7749670
Mexico,JALISCO,2015,7849416
Mexico,JALISCO,2016,7949163
Mexico,JALISCO,2017,8048910
Mexico,JALISCO,2018,8148657
Mexico,JALISCO,2019,8248404
Mexico,JALISCO,2020,8348151
Mexico,JALISCO,2021,8459186
