pais,adm_1_name,anio,poblacion
Bolivia,BENI,2014,431247
Bolivia,BENI,2015,435866
Bolivia,BENI,2016,440486
Bolivia,BENI,2017,445105
Bolivia,BENI,2018,449724
Bolivia,BENI,2019,454344
Bolivia,BENI,2020,458963
Bolivia,BENI,2021,463583
Bolivia,BENI,2022,468202
Bolivia,CHUQUISACA,2014,542957
Bolivia,CHUQUISACA,2015,548674
Bolivia,CHUQUISACA,2016,554392
Bolivia,CHUQUISACA,2017,560110
Bolivia,CHUQUISACA,2018,565827
Bolivia,CHUQUISACA,2019,571544
Bolivia,CHUQUISACA,2020,577262
Bolivia,CHUQUISACA,2021,582980
Bolivia,CHUQUISACA,2022,588697
Bolivia,COCHABAMBA,2014,1803196
Bolivia,COCHABAMBA,2015,1823414
Bolivia,COCHABAMBA,2016,1843632
Bolivia,COCHABAMBA,2017,1863849
Bolivia,COCHABAMBA,2018,1884067
Bolivia,COCHABAMBA,2019,1904285
Bolivia,COCHABAMBA,2020,1924502
Bolivia,COCHABAMBA,2021,1944720
Bolivia,COCHABAMBA,2022,1964938
Bolivia,LA PAZ,2014,2769881
Bolivia,LA PAZ,2015,2795150
Bolivia,LA PAZ,2016,2820418
Bolivia,LA PAZ,2017,2845686
Bolivia,LA PAZ,2018,2870955
Bolivia,LA PAZ,2019,2896224
Bolivia,LA PAZ,2020,2921492
Bolivia,LA PAZ,2021,2946760
Bolivia,LA PAZ,2022,2972029
Bolivia,ORURO,2014,507188
Bolivia,ORURO,2015,513489
Bolivia,ORURO,2016,519789
Bolivia,ORURO,2017,526090
Bolivia,ORURO,2018,532390
Bolivia,ORURO,2019,538691
Bolivia,ORURO,2020,544992
Bolivia,ORURO,2021,551292
Bolivia,ORURO,2022,557593
Bolivia,PANDO,2014,113824
Bolivia,PANDO,2015,115517
Bolivia,PANDO,2016,117211
Bolivia,PANDO,2017,118905
Bolivia,PANDO,2018,120598
Bolivia,PANDO,2019,122292
Bolivia,PANDO,2020,123986
Bolivia,PANDO,2021,125680
Bolivia,PANDO,2022,127374
Bolivia,POTOSI,2014,832814
Bolivia,POTOSI,2015,835174
Bolivia,POTOSI,2016,837535
Bolivia,POTOSI,2017,839896
Bolivia,POTOSI,2018,842256
Bolivia,POTOSI,2019,844616
Bolivia,POTOSI,2020,846977
Bolivia,POTOSI,2021,849338
Bolivia,POTOSI,2022,851698
Bolivia,SANTA CRUZ,2014,2734033
Bolivia,SANTA CRUZ,2015,2772168
Bolivia,SANTA CRUZ,2016,2810303
Bolivia,SANTA CRUZ,2017,2848439
Bolivia,SANTA CRUZ,2018,2886574
Bolivia,SANTA CRUZ,2019,2924709
Bolivia,SANTA CRUZ,2020,2962845
Bolivia,SANTA CRUZ,2021,3000980
Bolivia,SANTA CRUZ,2022,3039115
Bolivia,TARIJA,2014,491990
Bolivia,TARIJA,2015,496226
Bolivia,TARIJA,2016,500461
Bolivia,TARIJA,2017,504697
Bolivia,TARIJA,2018,508933
Bolivia,TARIJA,2019,513169
Bolivia,TARIJA,2020,517405
Bolivia,TARIJA,2021,521640
Bolivia,TARIJA,2022,525876
