pais,adm_1_name,anio,poblacion
Colombia,AMAZONAS,2014,70366
Colombia,AMAZONAS,2015,71921
Colombia,AMAZONAS,2016,73477
Colombia,AMAZONAS,2017,75033
Colombia,AMAZONAS,2018,76589
Colombia,AMAZONAS,2019,78145
Colombia,AMAZONAS,2020,79701
Colombia,AMAZONAS,2021,81257
Colombia,AMAZONAS,2022,82812
Colombia,ANTIOQUIA,2014,6095832
Colombia,ANTIOQUIA,2015,6173649
Colombia,ANTIOQUIA,2016,6251467
Colombia,ANTIOQUIA,2017,6329284
Colombia,ANTIOQUIA,2018,6407102
Colombia,ANTIOQUIA,2019,6484920
Colombia,ANTIOQUIA,2020,6562737
Colombia,ANTIOQUIA,2021,6640555
Colombia,ANTIOQUIA,2022,6718372
Colombia,ARAUCA,2014,228717
Colombia,ARAUCA,2015,237082
Colombia,ARAUCA,2016,245446
Colombia,ARAUCA,2017,253810
Colombia,ARAUCA,2018,262174
Colombia,ARAUCA,2019,270538
Colombia,ARAUCA,2020,278902
Colombia,ARAUCA,2021,287266
Colombia,ARAUCA,2022,295631
Colombia,ATLANTICO,2014,2358573
Colombia,ATLANTICO,2015,2402809
Colombia,ATLANTICO,2016,2447045
Colombia,ATLANTICO,2017,2491281
Colombia,ATLANTICO,2018,2535517
Colombia,ATLANTICO,2019,2579753
Colombia,ATLANTICO,2020,2623989
Colombia,ATLANTICO,2021,2668225
Colombia,ATLANTICO,2022,2712461
Colombia,BOGOTA,2014,7112376
Colombia,BOGOTA,2015,7187424
Colombia,BOGOTA,2016,7262471
Colombia,BOGOTA,2017,7337519
Colombia,BOGOTA,2018,7412566
Colombia,BOGOTA,2019,7487613
Colombia,BOGOTA,2020,7562661
Colombia,BOGOTA,2021,7637708
Colombia,BOGOTA,2022,7712756
Colombia,BOLIVAR,2014,1950876
Colombia,BOLIVAR,2015,1980684
Colombia,BOLIVAR,2016,2010493
Colombia,BOLIVAR,2017,2040301
Colombia,BOLIVAR,2018,2070110
Colombia,BOLIVAR,2019,2099919
Colombia,BOLIVAR,2020,2129727
Colombia,BOLIVAR,2021,2159536
Colombia,BOLIVAR,2022,2189344
Colombia,BOYACA,2014,1156378
Colombia,BOYACA,2015,1171628
Colombia,BOYACA,2016,1186877
Colombia,BOYACA,2017,1202127
Colombia,BOYACA,2018,1217376
Colombia,BOYACA,2019,1232625
Colombia,BOYACA,2020,1247875
Colombia,BOYACA,2021,1263124
Colombia,BOYACA,2022,1278374
Colombia,CALDAS,2014,963892
Colombia,CALDAS,2015,971836
Colombia,CALDAS,2016,979781
Colombia,CALDAS,2017,987725
Colombia,CALDAS,2018,995670
Colombia,CALDAS,2019,1003615
Colombia,CALDAS,2020,1011559
Colombia,CALDAS,2021,1019504
Colombia,CALDAS,2022,1027448
Colombia,CAQUETA,2014,385258
Colombia,CAQUETA,2015,389405
Colombia,CAQUETA,2016,393553
Colombia,CAQUETA,2017,397701
Colombia,CAQUETA,2018,401849
Colombia,CAQUETA,2019,405997
Colombia,CAQUETA,2020,410145
Colombia,CAQUETA,2021,414293
Colombia,CAQUETA,2022,418440
Colombia,CASANARE,2014,385399
Colombia,CASANARE,2015,394175
Colombia,CASANARE,2016,402951
Colombia,CASANARE,2017,411728
Colombia,CASANARE,2018,420504
Colombia,CASANARE,2019,429280
Colombia,CASANARE,2020,438057
Colombia,CASANARE,2021,446833
Colombia,CASANARE,2022,455609
Colombia,CAUCA,2014,1392669
Colombia,CAUCA,2015,1410624
Colombia,CAUCA,2016,1428579
Colombia,CAUCA,2017,1446533
Colombia,CAUCA,2018,1464488
Colombia,CAUCA,2019,1482443
Colombia,CAUCA,2020,1500397
Colombia,CAUCA,2021,1518352
Colombia,CAUCA,2022,1536307
Colombia,CESAR,2014,1078125
Colombia,CESAR,2015,1108738
Colombia,CESAR,2016,1139350
Colombia,CESAR,2017,1169962
