pais,adm_1_name,anio,poblacion
Ecuador,AZUAY,2014,393702
Ecuador,AZUAY,2015,397007
Ecuador,AZUAY,2016,400312
Ecuador,AZUAY,2017,403616
Ecuador,AZUAY,2018,406921
Ecuador,AZUAY,2019,410226
Ecuador,AZUAY,2020,413531
Ecuador,AZUAY,2021,416836
Ecuador,AZUAY,2022,420141
Ecuador,BOLIVAR,2014,55919
Ecuador,BOLIVAR,2015,56950
Ecuador,BOLIVAR,2016,57982
Ecuador,BOLIVAR,2017,59014
Ecuador,BOLIVAR,2018,60045
Ecuador,BOLIVAR,2019,61077
Ecuador,BOLIVAR,2020,62109
Ecuador,BOLIVAR,2021,63140
Ecuador,BOLIVAR,2022,64172
Ecuador,CANAR,2014,96716
Ecuador,CANAR,2015,97264
Ecuador,CANAR,2016,97812
Ecuador,CANAR,2017,98359
Ecuador,CANAR,2018,98907
Ecuador,CANAR,2019,99455
Ecuador,CANAR,2020,100002
Ecuador,CANAR,2021,100550
Ecuador,CANAR,2022,101098
Ecuador,CHIMBORAZO,2014,199963
Ecuador,CHIMBORAZO,2015,203174
Ecuador,CHIMBORAZO,2016,206384
Ecuador,CHIMBORAZO,2017,209595
Ecuador,CHIMBORAZO,2018,212806
Ecuador,CHIMBORAZO,2019,216017
Ecuador,CHIMBORAZO,2020,219228
Ecuador,CHIMBORAZO,2021,222439
Ecuador,CHIMBORAZO,2022,225650
Ecuador,COTOPAXI,2014,132807
Ecuador,COTOPAXI,2015,135766
Ecuador,COTOPAXI,2016,138726
Ecuador,COTOPAXI,2017,141685
Ecuador,COTOPAXI,2018,144644
Ecuador,COTOPAXI,2019,147603
Ecuador,COTOPAXI,2020,150562
Ecuador,COTOPAXI,2021,153522
Ecuador,COTOPAXI,2022,156481
Ecuador,EL ORO,2014,496828
Ecuador,EL ORO,2015,504877
Ecuador,EL ORO,2016,512927
Ecuador,EL ORO,2017,520977
Ecuador,EL ORO,2018,529026
Ecuador,EL ORO,2019,537076
Ecuador,EL ORO,2020,545126
Ecuador,EL ORO,2021,553175
Ecuador,EL ORO,2022,561225
Ecuador,ESMERALDAS,2014,240253
Ecuador,ESMERALDAS,2015,241295
Ecuador,ESMERALDAS,2016,242336
Ecuador,ESMERALDAS,2017,243378
Ecuador,ESMERALDAS,2018,244420
Ecuador,ESMERALDAS,2019,245461
Ecuador,ESMERALDAS,2020,246503
Ecuador,ESMERALDAS,2021,247544
Ecuador,ESMERALDAS,2022,248586
Ecuador,GALAPAGOS,2014,21406
Ecuador,GALAPAGOS,2015,21573
Ecuador,GALAPAGOS,2016,21740
Ecuador,GALAPAGOS,2017,21906
Ecuador,GALAPAGOS,2018,22073
Ecuador,GALAPAGOS,2019,22240
Ecuador,GALAPAGOS,2020,22407
Ecuador,GALAPAGOS,2021,22574
Ecuador,GALAPAGOS,2022,22741
Ecuador,GUAYAS,2014,3301524
Ecuador,GUAYAS,2015,3356891
Ecuador,GUAYAS,2016,3412258
Ecuador,GUAYAS,2017,3467626
Ecuador,GUAYAS,2018,3522993
Ecuador,GUAYAS,2019,3578360
Ecuador,GUAYAS,2020,3633728
Ecuador,GUAYAS,2021,3689095
Ecuador,GUAYAS,2022,3744462
Ecuador,IMBABURA,2014,221743
Ecuador,IMBABURA,2015,224728
Ecuador,IMBABURA,2016,227714
Ecuador,IMBABURA,2017,230700
Ecuador,IMBABURA,2018,233685
Ecuador,IMBABURA,2019,236671
Ecuador,IMBABURA,2020,239657
Ecuador,IMBABURA,2021,242642
Ecuador,IMBABURA,2022,245628
Ecuador,LOJA,2014,263894
Ecuador,LOJA,2015,267574
Ecuador,LOJA,2016,271255
Ecuador,LOJA,2017,274936
Ecuador,LOJA,2018,278616
Ecuador,LOJA,2019,282297
Ecuador,LOJA,2020,285978
Ecuador,LOJA,2021,289658
Ecuador,LOJA,2022,293339
Ecuador,LOS RIOS,2014,439631
Ecuador,LOS RIOS,2015,445330
Ecuador,LOS RIOS,2016,451029
Ecuador,LOS RIOS,2017,456728
Ecuador,LOS RIOS,2018,462427
Ecuador,LOS RIOS,2019,468126
Ecuador,LOS RIOS,2020,473825
Ecuador,LOS RIOS,2021,479524
Ecuador,LOS RIOS,2022,485223
Ecuador,MANABI,2014,821678
Ecuador,MANABI,2015,834509
Ecuador,MANABI,2016,847340
Ecuador,MANABI,2017,860171
Ecuador,MANABI,2018,873002
Ecuador,MANABI,2019,885832
Ecuador,MANABI,2020,898663
Ecuador,MANABI,2021,911494
Ecuador,MANABI,2022,924325
Ecuador,MORONA SANTIAGO,2014,54027
Ecuador,MORONA SANTIAGO,2015,55128
Ecuador,MORONA SANTIAGO,2016,56229
Ecuador,MORONA SANTIAGO,2017,57330
Ecuador,MORONA SANTIAGO,2018,58431
Ecuador,MORONA SANTIAGO,2019,59532
Ecuador,MORONA SANTIAGO,2020,60634
