pais,adm_1_name,anio,poblacion
Peru,AMAZONAS,2014,421122
Peru,AMAZONAS,2015,422629
Peru,AMAZONAS,2016,411528
Peru,AMAZONAS,2017,415470
Peru,AMAZONAS,2018,419833
Peru,AMAZONAS,2019,423863
Peru,AMAZONAS,2020,426806
Peru,AMAZONAS,2021,428512
Peru,AMAZONAS,2022,429483
Peru,ANCASH,2014,1142409
Peru,ANCASH,2015,1148634
Peru,ANCASH,2016,1126700
Peru,ANCASH,2017,1140482
Peru,ANCASH,2018,1155451
Peru,ANCASH,2019,1169522
Peru,ANCASH,2020,1180638
Peru,ANCASH,2021,1188391
Peru,ANCASH,2022,1194156
Peru,AYACUCHO,2014,681149
Peru,AYACUCHO,2015,688657
Peru,AYACUCHO,2016,647787
Peru,AYACUCHO,2017,653098
Peru,AYACUCHO,2018,659061
Peru,AYACUCHO,2019,664494
Peru,AYACUCHO,2020,668213
Peru,AYACUCHO,2021,669979
Peru,AYACUCHO,2022,670579
Peru,CAJAMARCA,2014,1525064
Peru,CAJAMARCA,2015,1529755
Peru,CAJAMARCA,2016,1418298
Peru,CAJAMARCA,2017,1427600
Peru,CAJAMARCA,2018,1438325
Peru,CAJAMARCA,2019,1447891
Peru,CAJAMARCA,2020,1453711
Peru,CAJAMARCA,2021,1455245
Peru,CAJAMARCA,2022,1454217
Peru,CALLAO,2014,500000
Peru,CALLAO,2015,500000
Peru,CALLAO,2016,500000
Peru,CALLAO,2017,500000
Peru,CALLAO,2018,500000
Peru,CALLAO,2019,500000
Peru,CALLAO,2020,500000
Peru,CALLAO,2021,500000
Peru,CALLAO,2022,500000
Peru,CUSCO,2014,1308806
Peru,CUSCO,2015,1316729
Peru,CUSCO,2016,1280146
Peru,CUSCO,2017,1299648
Peru,CUSCO,2018,1320530
Peru,CUSCO,2019,1340457
Peru,CUSCO,2020,1357075
Peru,CUSCO,2021,1369932
Peru,CUSCO,2022,1380594
Peru,HUANUCO,2014,854234
Peru,HUANUCO,2015,860537
Peru,HUANUCO,2016,752244
Peru,HUANUCO,2017,754472
Peru,HUANUCO,2018,757467
Peru,HUANUCO,2019,759851
Peru,HUANUCO,2020,760267
Peru,HUANUCO,2021,758416
Peru,HUANUCO,2022,755213
Peru,ICA,2014,779372
Peru,ICA,2015,787170
Peru,ICA,2016,870162
Peru,ICA,2017,896003
Peru,ICA,2018,923175
Peru,ICA,2019,950100
Peru,ICA,2020,975182
Peru,ICA,2021,998144
Peru,ICA,2022,1020050
Peru,JUNIN,2014,1223285
Peru,JUNIN,2015,1227513
Peru,JUNIN,2016,1304636
Peru,JUNIN,2017,1319213
Peru,JUNIN,2018,1335139
Peru,JUNIN,2019,1350021
Peru,JUNIN,2020,1361467
Peru,JUNIN,2021,1369003
Peru,JUNIN,2022,1374221
Peru,LA LIBERTAD,2014,1836960
Peru,LA LIBERTAD,2015,1859640
Peru,LA LIBERTAD,2016,1855779
Peru,LA LIBERTAD,2017,1895983
Peru,LA LIBERTAD,2018,1938501
Peru,LA LIBERTAD,2019,1979901
Peru,LA LIBERTAD,2020,2016771
Peru,LA LIBERTAD,2021,2048492
Peru,LA LIBERTAD,2022,2077345
Peru,LAMBAYEQUE,2014,1250349
Peru,LAMBAYEQUE,2015,1260650
Peru,LAMBAYEQUE,2016,1226322
