pais,adm_1_name,ano,poblacion
Brazil,ACRE,2014,765712
Brazil,ACRE,2015,773750
Brazil,ACRE,2016,781788
Brazil,ACRE,2017,789827
Brazil,ACRE,2018,797865
Brazil,ACRE,2019,805903
Brazil,ACRE,2020,813942
Brazil,ACRE,2021,821980
Brazil,ACRE,2022,830018
Brazil,ACRE,2023,838056
Brazil,ACRE,2024,846094
Brazil,ALAGOAS,2014,3122890
Brazil,ALAGOAS,2015,3123489
Brazil,ALAGOAS,2016,3124088
Brazil,ALAGOAS,2017,3124687
Brazil,ALAGOAS,2018,3125286
Brazil,ALAGOAS,2019,3125886
Brazil,ALAGOAS,2020,3126485
Brazil,ALAGOAS,2021,3127084
Brazil,ALAGOAS,2022,3127683
Brazil,ALAGOAS,2023,3128282
Brazil,ALAGOAS,2024,3128881
Brazil,AMAPA,2014,690937
Brazil,AMAPA,2015,696290
Brazil,AMAPA,2016,701642
Brazil,AMAPA,2017,706995
Brazil,AMAPA,2018,712348
Brazil,AMAPA,2019,717701
Brazil,AMAPA,2020,723054
Brazil,AMAPA,2021,728406
Brazil,AMAPA,2022,733759
Brazil,AMAPA,2023,739112
Brazil,AMAPA,2024,744464
Brazil,AMAZONAS,2014,3636528
Brazil,AMAZONAS,2015,3674663
Brazil,AMAZONAS,2016,3712799
Brazil,AMAZONAS,2017,3750935
Brazil,AMAZONAS,2018,3789070
Brazil,AMAZONAS,2019,3827206
Brazil,AMAZONAS,2020,3865342
Brazil,AMAZONAS,2021,3903477
Brazil,AMAZONAS,2022,3941613
Brazil,AMAZONAS,2023,3979749
Brazil,AMAZONAS,2024,4017884
Brazil,BAHIA,2014,14058479
Brazil,BAHIA,2015,14068873
Brazil,BAHIA,2016,14079266
Brazil,BAHIA,2017,14089659
Brazil,BAHIA,2018,14100053
Brazil,BAHIA,2019,14110446
Brazil,BAHIA,2020,14120839
Brazil,BAHIA,2021,14131233
Brazil,BAHIA,2022,14141626
Brazil,BAHIA,2023,14152019
Brazil,BAHIA,2024,14162413
Brazil,CEARA,2014,8566573
Brazil,CEARA,2015,8595121
Brazil,CEARA,2016,8623669
Brazil,CEARA,2017,8652217
Brazil,CEARA,2018,8680765
Brazil,CEARA,2019,8709313
Brazil,CEARA,2020,8737861
Brazil,CEARA,2021,8766409
Brazil,CEARA,2022,8794957
Brazil,CEARA,2023,8823505
Brazil,CEARA,2024,8852053
Brazil,DISTRITO FEDERAL,2014,2652567
Brazil,DISTRITO FEDERAL,2015,2673169
Brazil,DISTRITO FEDERAL,2016,2693770
Brazil,DISTRITO FEDERAL,2017,2714372
Brazil,DISTRITO FEDERAL,2018,2734974
Brazil,DISTRITO FEDERAL,2019,2755576
Brazil,DISTRITO FEDERAL,2020,2776178
Brazil,DISTRITO FEDERAL,2021,2796779
Brazil,DISTRITO FEDERAL,2022,2817381
Brazil,DISTRITO FEDERAL,2023,2837983
Brazil,DISTRITO FEDERAL,2024,2858584
Brazil,ESPIRITO SANTO,2014,3621205
Brazil,ESPIRITO SANTO,2015,3647769
Brazil,ESPIRITO SANTO,2016,3674332
Brazil,ESPIRITO SANTO,2017,3700895
Brazil,ESPIRITO SANTO,2018,3727459
Brazil,ESPIRITO SANTO,2019,3754022
Brazil,ESPIRITO SANTO,2020,3780585
Brazil,ESPIRITO SANTO,2021,3807149
Brazil,ESPIRITO SANTO,2022,3833712
Brazil,ESPIRITO SANTO,2023,3860275
Brazil,ESPIRITO SANTO,2024,3886839
Brazil,GOIAS,2014,6354690
Brazil,GOIAS,2015,6442416
Brazil,GOIAS,2016,6530142
Brazil,GOIAS,2017,6617867
Brazil,GOIAS,2018,6705593
Brazil,GOIAS,2019,6793318
Brazil,GOIAS,2020,6881044
Brazil,GOIAS,2021,6968769
Brazil,GOIAS,2022,7056495
Brazil,GOIAS,2023,7144221
Brazil,GOIAS,2024,7231946
Brazil,MARANHAO,2014,6635128
Brazil,MARANHAO,2015,6650212
Brazil,MARANHAO,2016,6665297
Brazil,MARANHAO,2017,6680382
Brazil,MARANHAO,2018,6695466
Brazil,MARANHAO,2019,6710551
Brazil,MARANHAO,2020,6725636
Brazil,MARANHAO,2021,6740720
Brazil,MARANHAO,2022,6755805
Brazil,MARANHAO,2023,6770890
Brazil,MARANHAO,2024,6785974
Brazil,MATO GROSSO,2014,3242964
Brazil,MATO GROSSO,2015,3294925
Brazil,MATO GROSSO,2016,3346886
Brazil,MATO GROSSO,2017,3398846
Brazil,MATO GROSSO,2018,3450807
Brazil,MATO GROSSO,2019,3502767
Brazil,MATO GROSSO,2020,3554728
Brazil,MATO GROSSO,2021,3606688
Brazil,MATO GROSSO,2022,3658649
Brazil,MATO GROSSO,2023,3710610
Brazil,MATO GROSSO,2024,3762570
Brazil,MATO GROSSO DO SUL,2014,2551687
Brazil,MATO GROSSO DO SUL,2015,2577353
Brazil,MATO GROSSO DO SUL,2016,2603018
Brazil,MATO GROSSO DO SUL,2017,2628684
Brazil,MATO GROSSO DO SUL,2018,2654350
Brazil,MATO GROSSO DO SUL,2019,2680016
Brazil,MATO GROSSO DO SUL,2020,2705682
Brazil,MATO GROSSO DO SUL,2021,2731347
Brazil,MATO GROSSO DO SUL,2022,2757013
Brazil,MATO GROSSO DO SUL,2023,2782679
Brazil,MATO GROSSO DO SUL,2024,2808344
Brazil,MINAS GERAIS,2014,19911550
Brazil,MINAS GERAIS,2015,19990105
Brazil,MINAS GERAIS,2016,20068660
Brazil,MINAS GERAIS,2017,20147215
Brazil,MINAS GERAIS,2018,20225770
Brazil,MINAS GERAIS,2019,20304324
Brazil,MINAS GERAIS,2020,20382879
Brazil,MINAS GERAIS,2021,20461434
Brazil,MINAS GERAIS,2022,20539989
Brazil,MINAS GERAIS,2023,20618544
Brazil,MINAS GERAIS,2024,20697099
Brazil,PARA,2014,7761042
Brazil,PARA,2015,7806040
Brazil,PARA,2016,7851038
Brazil,PARA,2017,7896036
Brazil,PARA,2018,7941034
Brazil,PARA,2019,7986032
Brazil,PARA,2020,8031029
Brazil,PARA,2021,8076027
Brazil,PARA,2022,8121025
Brazil,PARA,2023,8166023
Brazil,PARA,2024,8211021
Brazil,PARAIBA,2014,3835914
Brazil,PARAIBA,2015,3853261
Brazil,PARAIBA,2016,3870608
Brazil,PARAIBA,2017,3887954
Brazil,PARAIBA,2018,3905301
Brazil,PARAIBA,2019,3922647
Brazil,PARAIBA,2020,3939994
Brazil,PARAIBA,2021,3957340
Brazil,PARAIBA,2022,3974687
Brazil,PARAIBA,2023,3992034
Brazil,PARAIBA,2024,4009380
Brazil,PARANA,2014,10777811
Brazil,PARANA,2015,10861132
Brazil,PARANA,2016,10944453
Brazil,PARANA,2017,11027774
Brazil,PARANA,2018,11111095
Brazil,PARANA,2019,11194416
Brazil,PARANA,2020,11277738
Brazil,PARANA,2021,11361059
Brazil,PARANA,2022,11444380
Brazil,PARANA,2023,11527701
Brazil,PARANA,2024,11611022
Brazil,PERNAMBUCO,2014,8883942
Brazil,PERNAMBUCO,2015,8905816
Brazil,PERNAMBUCO,2016,8927690
Brazil,PERNAMBUCO,2017,8949563
Brazil,PERNAMBUCO,2018,8971437
Brazil,PERNAMBUCO,2019,8993310
Brazil,PERNAMBUCO,2020,9015184
Brazil,PERNAMBUCO,2021,9037057
Brazil,PERNAMBUCO,2022,9058931
Brazil,PERNAMBUCO,2023,9080805
Brazil,PERNAMBUCO,2024,9102678
Brazil,PIAUI,2014,3169306
Brazil,PIAUI,2015,3182043
Brazil,PIAUI,2016,3194780
Brazil,PIAUI,2017,3207516
Brazil,PIAUI,2018,3220253
Brazil,PIAUI,2019,3232989
Brazil,PIAUI,2020,3245726
Brazil,PIAUI,2021,3258462
Brazil,PIAUI,2022,3271199
Brazil,PIAUI,2023,3283936
Brazil,PIAUI,2024,3296672
Brazil,RIO DE JANEIRO,2014,16011677
Brazil,RIO DE JANEIRO,2015,16017114
Brazil,RIO DE JANEIRO,2016,16022552
Brazil,RIO DE JANEIRO,2017,16027989
Brazil,RIO DE JANEIRO,2018,16033426
Brazil,RIO DE JANEIRO,2019,16038863
Brazil,RIO DE JANEIRO,2020,16044300
Brazil,RIO DE JANEIRO,2021,16049737
Brazil,RIO DE JANEIRO,2022,16055174
Brazil,RIO DE JANEIRO,2023,16060611
Brazil,RIO DE JANEIRO,2024,16066048
Brazil,RIO GRANDE DO NORTE,2014,3212928
Brazil,RIO GRANDE DO NORTE,2015,3224153
Brazil,RIO GRANDE DO NORTE,2016,3235378
Brazil,RIO GRANDE DO NORTE,2017,3246603
Brazil,RIO GRANDE DO NORTE,2018,3257828
Brazil,RIO GRANDE DO NORTE,2019,3269054
Brazil,RIO GRANDE DO NORTE,2020,3280279
Brazil,RIO GRANDE DO NORTE,2021,3291504
Brazil,RIO GRANDE DO NORTE,2022,3302729
Brazil,RIO GRANDE DO NORTE,2023,3313954
Brazil,RIO GRANDE DO NORTE,2024,3325179
Brazil,RIO GRANDE DO SUL,2014,10756941
Brazil,RIO GRANDE DO SUL,2015,10772694
Brazil,RIO GRANDE DO SUL,2016,10788447
Brazil,RIO GRANDE DO SUL,2017,10804200
Brazil,RIO GRANDE DO SUL,2018,10819953
Brazil,RIO GRANDE DO SUL,2019,10835706
Brazil,RIO GRANDE DO SUL,2020,10851459
Brazil,RIO GRANDE DO SUL,2021,10867212
Brazil,RIO GRANDE DO SUL,2022,10882965
Brazil,RIO GRANDE DO SUL,2023,10898718
Brazil,RIO GRANDE DO SUL,2024,10914471
Brazil,RONDONIA,2014,1568671
Brazil,RONDONIA,2015,1570237
Brazil,RONDONIA,2016,1571802
Brazil,RONDONIA,2017,1573368
Brazil,RONDONIA,2018,1574934
Brazil,RONDONIA,2019,1576499
Brazil,RONDONIA,2020,1578065
Brazil,RONDONIA,2021,1579630
Brazil,RONDONIA,2022,1581196
Brazil,RONDONIA,2023,1582762
Brazil,RONDONIA,2024,1584327
Brazil,RORAIMA,2014,512555
Brazil,RORAIMA,2015,528074
Brazil,RORAIMA,2016,543593
Brazil,RORAIMA,2017,559112
Brazil,RORAIMA,2018,574631
Brazil,RORAIMA,2019,590150
Brazil,RORAIMA,2020,605669
Brazil,RORAIMA,2021,621188
Brazil,RORAIMA,2022,636707
Brazil,RORAIMA,2023,652226
Brazil,RORAIMA,2024,667745
Brazil,SANTA CATARINA,2014,6702411
Brazil,SANTA CATARINA,2015,6815905
Brazil,SANTA CATARINA,2016,6929398
Brazil,SANTA CATARINA,2017,7042892
Brazil,SANTA CATARINA,2018,7156386
Brazil,SANTA CATARINA,2019,7269880
Brazil,SANTA CATARINA,2020,7383374
Brazil,SANTA CATARINA,2021,7496867
Brazil,SANTA CATARINA,2022,7610361
Brazil,SANTA CATARINA,2023,7723855
Brazil,SANTA CATARINA,2024,7837348
Brazil,SAO PAULO,2014,42311879
Brazil,SAO PAULO,2015,42574299
Brazil,SAO PAULO,2016,42836718
Brazil,SAO PAULO,2017,43099138
Brazil,SAO PAULO,2018,43361558
Brazil,SAO PAULO,2019,43623978
Brazil,SAO PAULO,2020,43886398
Brazil,SAO PAULO,2021,44148818
Brazil,SAO PAULO,2022,44411238
Brazil,SAO PAULO,2023,44673658
Brazil,SAO PAULO,2024,44936078
Brazil,SERGIPE,2014,2115346
Brazil,SERGIPE,2015,2127178
Brazil,SERGIPE,2016,2139010
Brazil,SERGIPE,2017,2150843
Brazil,SERGIPE,2018,2162675
Brazil,SERGIPE,2019,2174507
Brazil,SERGIPE,2020,2186340
Brazil,SERGIPE,2021,2198172
Brazil,SERGIPE,2022,2210004
Brazil,SERGIPE,2023,2221836
Brazil,SERGIPE,2024,2233668
Brazil,TOCANTINS,2014,1426117
Brazil,TOCANTINS,2015,1436785
Brazil,TOCANTINS,2016,1447452
Brazil,TOCANTINS,2017,1458120
Brazil,TOCANTINS,2018,1468788
Brazil,TOCANTINS,2019,1479456
Brazil,TOCANTINS,2020,1490124
Brazil,TOCANTINS,2021,1500792
Brazil,TOCANTINS,2022,1511460
Brazil,TOCANTINS,2023,1522128
Brazil,TOCANTINS,2024,1532796
