pais,adm_1_name,ano,poblacion
Mexico,AGUASCALIENTES,2014,1280984
Mexico,AGUASCALIENTES,2015,1305163
Mexico,AGUASCALIENTES,2016,1329342
Mexico,AGUASCALIENTES,2017,1353520
Mexico,AGUASCALIENTES,2018,1377699
Mexico,AGUASCALIENTES,2019,1401877
Mexico,AGUASCALIENTES,2020,1426056
Mexico,AGUASCALIENTES,2021,1450234
Mexico,AGUASCALIENTES,2022,1474413
Mexico,AGUASCALIENTES,2023,1498592
Mexico,AGUASCALIENTES,2024,1522770
Mexico,BAJA CALIFORNIA,2014,3396200
Mexico,BAJA CALIFORNIA,2015,3459634
Mexico,BAJA CALIFORNIA,2016,3523069
Mexico,BAJA CALIFORNIA,2017,3586504
Mexico,BAJA CALIFORNIA,2018,3649938
Mexico,BAJA CALIFORNIA,2019,3713372
Mexico,BAJA CALIFORNIA,2020,3776807
Mexico,BAJA CALIFORNIA,2021,3840242
Mexico,BAJA CALIFORNIA,2022,3903677
Mexico,BAJA CALIFORNIA,2023,3967112
Mexico,BAJA CALIFORNIA,2024,4030547
Mexico,BAJA CALIFORNIA SUR,2014,699603
Mexico,BAJA CALIFORNIA SUR,2015,716658
Mexico,BAJA CALIFORNIA SUR,2016,733712
Mexico,BAJA CALIFORNIA SUR,2017,750767
Mexico,BAJA CALIFORNIA SUR,2018,767822
Mexico,BAJA CALIFORNIA SUR,2019,784877
Mexico,BAJA CALIFORNIA SUR,2020,801932
Mexico,BAJA CALIFORNIA SUR,2021,818987
Mexico,BAJA CALIFORNIA SUR,2022,836042
Mexico,BAJA CALIFORNIA SUR,2023,853097
Mexico,BAJA CALIFORNIA SUR,2024,870152
Mexico,CAMPECHE,2014,866630
Mexico,CAMPECHE,2015,876388
Mexico,CAMPECHE,2016,886146
Mexico,CAMPECHE,2017,895904
Mexico,CAMPECHE,2018,905661
Mexico,CAMPECHE,2019,915419
Mexico,CAMPECHE,2020,925177
Mexico,CAMPECHE,2021,934935
Mexico,CAMPECHE,2022,944693
Mexico,CAMPECHE,2023,954451
Mexico,CAMPECHE,2024,964209
Mexico,CHIAPAS,2014,5080243
Mexico,CHIAPAS,2015,5161951
Mexico,CHIAPAS,2016,5243659
Mexico,CHIAPAS,2017,5325367
Mexico,CHIAPAS,2018,5407075
Mexico,CHIAPAS,2019,5488783
Mexico,CHIAPAS,2020,5570491
Mexico,CHIAPAS,2021,5652199
Mexico,CHIAPAS,2022,5733907
Mexico,CHIAPAS,2023,5815615
Mexico,CHIAPAS,2024,5897323
Mexico,CHIHUAHUA,2014,3529942
Mexico,CHIHUAHUA,2015,3568380
Mexico,CHIHUAHUA,2016,3606817
Mexico,CHIHUAHUA,2017,3645254
Mexico,CHIHUAHUA,2018,3683692
Mexico,CHIHUAHUA,2019,3722130
Mexico,CHIHUAHUA,2020,3760567
Mexico,CHIHUAHUA,2021,3799004
Mexico,CHIHUAHUA,2022,3837442
Mexico,CHIHUAHUA,2023,3875880
Mexico,CHIHUAHUA,2024,3914317
Mexico,COAHUILA,2014,2903399
Mexico,COAHUILA,2015,2945228
Mexico,COAHUILA,2016,2987057
Mexico,COAHUILA,2017,3028886
Mexico,COAHUILA,2018,3070714
Mexico,COAHUILA,2019,3112543
Mexico,COAHUILA,2020,3154372
Mexico,COAHUILA,2021,3196201
Mexico,COAHUILA,2022,3238030
Mexico,COAHUILA,2023,3279859
Mexico,COAHUILA,2024,3321688
Mexico,COLIMA,2014,683266
Mexico,COLIMA,2015,691177
Mexico,COLIMA,2016,699088
Mexico,COLIMA,2017,706999
Mexico,COLIMA,2018,714911
Mexico,COLIMA,2019,722822
Mexico,COLIMA,2020,730733
Mexico,COLIMA,2021,738644
Mexico,COLIMA,2022,746555
Mexico,COLIMA,2023,754466
Mexico,COLIMA,2024,762377
Mexico,DISTRITO FEDERAL,2014,8873412
