pais,adm_1_name,ano,poblacion
Panama,BOCAS DEL TORO,2014,135851
Panama,BOCAS DEL TORO,2015,138448
Panama,BOCAS DEL TORO,2016,141046
Panama,BOCAS DEL TORO,2017,143643
Panama,BOCAS DEL TORO,2018,146241
Panama,BOCAS DEL TORO,2019,148838
Panama,BOCAS DEL TORO,2020,151436
Panama,BOCAS DEL TORO,2021,154033
Panama,BOCAS DEL TORO,2022,156631
Panama,BOCAS DEL TORO,2023,159228
Panama,BOCAS DEL TORO,2024,161825
Panama,CHIRIQUI,2014,433549
Panama,CHIRIQUI,2015,437718
Panama,CHIRIQUI,2016,441887
Panama,CHIRIQUI,2017,446056
Panama,CHIRIQUI,2018,450225
Panama,CHIRIQUI,2019,454394
Panama,CHIRIQUI,2020,458564
Panama,CHIRIQUI,2021,462733
Panama,CHIRIQUI,2022,466902
Panama,CHIRIQUI,2023,471071
Panama,CHIRIQUI,2024,475240
Panama,COCLE,2014,244341
Panama,COCLE,2015,246999
Panama,COCLE,2016,249657
Panama,COCLE,2017,252315
Panama,COCLE,2018,254973
Panama,COCLE,2019,257631
Panama,COCLE,2020,260290
Panama,COCLE,2021,262948
Panama,COCLE,2022,265606
Panama,COCLE,2023,268264
Panama,COCLE,2024,270922
Panama,COLON,2014,254244
Panama,COLON,2015,257323
Panama,COLON,2016,260402
Panama,COLON,2017,263481
Panama,COLON,2018,266560
Panama,COLON,2019,269639
Panama,COLON,2020,272719
Panama,COLON,2021,275798
Panama,COLON,2022,278877
Panama,COLON,2023,281956
Panama,COLON,2024,285035
Panama,DARIEN,2014,50180
Panama,DARIEN,2015,50631
Panama,DARIEN,2016,51081
Panama,DARIEN,2017,51532
Panama,DARIEN,2018,51982
Panama,DARIEN,2019,52433
Panama,DARIEN,2020,52883
Panama,DARIEN,2021,53334
Panama,DARIEN,2022,53784
Panama,DARIEN,2023,54235
Panama,DARIEN,2024,54686
Panama,HERRERA,2014,113683
Panama,HERRERA,2015,114615
Panama,HERRERA,2016,115547
Panama,HERRERA,2017,116479
Panama,HERRERA,2018,117411
Panama,HERRERA,2019,118343
Panama,HERRERA,2020,119275
Panama,HERRERA,2021,120207
Panama,HERRERA,2022,121139
Panama,HERRERA,2023,122071
Panama,HERRERA,2024,123003
Panama,KUNA YALA,2014,32773
Panama,KUNA YALA,2015,32689
Panama,KUNA YALA,2016,32605
Panama,KUNA YALA,2017,32521
Panama,KUNA YALA,2018,32437
Panama,KUNA YALA,2019,32353
Panama,KUNA YALA,2020,32268
Panama,KUNA YALA,2021,32184
Panama,KUNA YALA,2022,32100
Panama,KUNA YALA,2023,32016
Panama,KUNA YALA,2024,31932
Panama,LOS SANTOS,2014,92322
Panama,LOS SANTOS,2015,93005
Panama,LOS SANTOS,2016,93688
Panama,LOS SANTOS,2017,94370
Panama,LOS SANTOS,2018,95053
Panama,LOS SANTOS,2019,95736
Panama,LOS SANTOS,2020,96418
Panama,LOS SANTOS,2021,97101
Panama,LOS SANTOS,2022,97783
Panama,LOS SANTOS,2023,98466
Panama,LOS SANTOS,2024,99149
Panama,NGOBE BUGLE,2014,173774
Panama,NGOBE BUGLE,2015,178030
Panama,NGOBE BUGLE,2016,182287
Panama,NGOBE BUGLE,2017,186544
Panama,NGOBE BUGLE,2018,190801
Panama,NGOBE BUGLE,2019,195057
Panama,NGOBE BUGLE,2020,199314
Panama,NGOBE BUGLE,2021,203571
Panama,NGOBE BUGLE,2022,207827
Panama,NGOBE BUGLE,2023,212084
Panama,NGOBE BUGLE,2024,216341
Panama,PANAMA,2014,1830045
Panama,PANAMA,2015,1859289
Panama,PANAMA,2016,1888533
Panama,PANAMA,2017,1917777
Panama,PANAMA,2018,1947021
Panama,PANAMA,2019,1976265
Panama,PANAMA,2020,2005508
Panama,PANAMA,2021,2034752
Panama,PANAMA,2022,2063996
Panama,PANAMA,2023,2093240
Panama,PANAMA,2024,2122484
Panama,VERAGUAS,2014,237083
Panama,VERAGUAS,2015,239606
Panama,VERAGUAS,2016,242129
Panama,VERAGUAS,2017,244652
Panama,VERAGUAS,2018,247175
Panama,VERAGUAS,2019,249698
Panama,VERAGUAS,2020,252222
Panama,VERAGUAS,2021,254745
Panama,VERAGUAS,2022,257268
Panama,VERAGUAS,2023,259791
Panama,VERAGUAS,2024,262314
