pais,adm_1_name,anio,poblacion
Panama,BOCAS DEL TORO,2010,125461
Panama,BOCAS DEL TORO,2023,159228
Panama,CHIRIQUI,2010,416872
Panama,CHIRIQUI,2023,471071
Panama,COCLE,2010,233708
Panama,COCLE,2023,268264
Panama,COLON,2010,241927
Panama,COLON,2023,281956
Panama,DARIEN,2010,48378
Panama,DARIEN,2023,54235
Panama,HERRERA,2010,109955
Panama,HERRERA,2023,122071
Panama,KUNA YALA,2010,33110
Panama,KUNA YALA,2023,32016
Panama,LOS SANTOS,2010,89592
Panama,LOS SANTOS,2023,98466
Panama,NGOBE BUGLE,2010,156747
Panama,NGOBE BUGLE,2023,212084
Panama,PANAMA,2010,1713070
Panama,PANAMA,2023,2093240
Panama,VERAGUAS,2010,226990
Panama,VERAGUAS,2023,259791
